City,Neighborhood,price,rooms,price_per_room,price_per_sqm
Haifa,Upper Hadar,4600.0,3.0,1533.33,43.81
Haifa,Upper Hadar,3400.0,2.5,1360.0,42.5
Haifa,Upper Hadar,3200.0,2.5,1280.0,49.23
Haifa,Upper Hadar,3850.0,4.0,962.5,48.12
Haifa,Upper Hadar,3000.0,2.0,1500.0,75.0
Haifa,Upper Hadar,3200.0,3.5,914.29,3200.0
Haifa,Upper Hadar,3650.0,2.5,1460.0,52.14
Haifa,Upper Hadar,4450.0,4.0,1112.5,44.5
Haifa,Upper Hadar,3200.0,3.0,1066.67,53.33
Haifa,Upper Hadar,4300.0,4.0,1075.0,47.78
Haifa,Upper Hadar,4750.0,4.5,1055.56,43.18
Haifa,Upper Hadar,3400.0,3.0,1133.33,56.67
Haifa,Upper Hadar,3600.0,3.0,1200.0,46.15
Haifa,Hadar HaCarmel,3400.0,3.0,1133.33,48.57
Haifa,Hadar HaCarmel,5200.0,2.0,2600.0,86.67
Haifa,Central Carmel,11000.0,4.0,2750.0,81.48
Haifa,Central Carmel,4000.0,2.5,1600.0,61.54
Haifa,Hadar HaCarmel,3000.0,3.0,1000.0,35.29
Haifa,Central Carmel,4500.0,3.0,1500.0,45.0
Haifa,Hadar HaCarmel,4500.0,3.0,1500.0,52.94
Haifa,Central Carmel,7000.0,5.0,1400.0,56.0
Haifa,Hadar HaCarmel,3500.0,3.5,1000.0,38.89
Haifa,Downtown Haifa,4400.0,3.5,1257.14,67.69
Haifa,Downtown Haifa,4600.0,3.0,1533.33,65.71
Haifa,Downtown Haifa,3150.0,2.0,1575.0,39.38
Haifa,Downtown Haifa,4500.0,3.0,1500.0,75.0
Haifa,Downtown Haifa,4200.0,2.0,2100.0,52.5
Haifa,Downtown Haifa,4000.0,2.0,2000.0,61.54
Haifa,Downtown Haifa,3680.0,3.5,1051.43,46.0
Haifa,Hadar HaCarmel,3000.0,2.5,1200.0,42.86
Haifa,Hadar HaCarmel,3200.0,3.0,1066.67,22.86
Haifa,Wadi Nisnas,4100.0,4.0,1025.0,45.56
Haifa,Hadar HaCarmel,6500.0,3.0,2166.67,81.25
Haifa,Hadar HaCarmel,3000.0,2.5,1200.0,54.55
Haifa,Hadar HaCarmel,3250.0,3.0,1083.33,54.17
Haifa,Hadar HaCarmel,3800.0,3.0,1266.67,47.5
Haifa,Hadar HaCarmel,3700.0,3.0,1233.33,49.33
Haifa,Hadar HaCarmel,3500.0,3.0,1166.67,54.69
Haifa,Mai,3100.0,3.0,1033.33,38.75
Haifa,West Carmel,4300.0,4.0,1075.0,33.08
Haifa,West Carmel,5500.0,4.0,1375.0,53.92
Haifa,West Carmel,3700.0,4.0,925.0,41.11
Haifa,West Carmel,4000.0,2.5,1600.0,105.26
Haifa,West Carmel,4500.0,3.5,1285.71,52.94
Haifa,West Carmel,4800.0,4.0,1200.0,53.33
Haifa,West Carmel,5200.0,4.0,1300.0,52.0
Haifa,West Carmel,3400.0,3.0,1133.33,47.22
Haifa,West Carmel,3000.0,2.0,1500.0,60.0
Haifa,West Carmel,3500.0,2.0,1750.0,100.0
Haifa,West Carmel,4000.0,2.0,2000.0,66.67
Haifa,West Carmel,4500.0,2.0,2250.0,75.0
Haifa,West Carmel,3500.0,2.0,1750.0,58.33
Haifa,Old Carmel,7800.0,5.0,1560.0,57.78
Haifa,Ramat HaTishbi,4900.0,4.5,1088.89,44.55
Haifa,North Carmel,6000.0,4.5,1333.33,50.0
Haifa,North Carmel,7000.0,2.0,3500.0,155.56
Haifa,North Carmel,4450.0,3.5,1271.43,46.84
Haifa,North Carmel,8000.0,3.0,2666.67,76.92
Haifa,Central Carmel,4500.0,2.5,1800.0,69.23
Haifa,Ramat HaTishbi,3500.0,3.0,1166.67,50.0
Haifa,Abbas,4700.0,4.0,1175.0,37.6
Haifa,Old Carmel,3900.0,3.0,1300.0,45.88
Haifa,Ramat HaTishbi,5000.0,4.0,1250.0,55.56
Haifa,Old Carmel,3000.0,1.5,2000.0,100.0
Haifa,North Carmel,8000.0,6.0,1333.33,43.48
Haifa,North Carmel,9350.0,3.0,3116.67,93.5
Haifa,North Carmel,4500.0,4.5,1000.0,45.0
Haifa,French Carmel,3300.0,3.5,942.86,41.25
Haifa,Ramat HaTishbi,4000.0,3.0,1333.33,53.33
Haifa,Yizre'eliya,4300.0,4.0,1075.0,47.78
Haifa,Yizre'eliya,3600.0,3.0,1200.0,42.86
Haifa,Yizre'eliya,5000.0,4.0,1250.0,50.0
Haifa,Yizre'eliya,3500.0,3.0,1166.67,53.85
Haifa,Yizre'eliya,3600.0,3.0,1200.0,51.43
Haifa,Yizre'eliya,5000.0,4.5,1111.11,54.35
Haifa,Yizre'eliya,3350.0,3.0,1116.67,47.86
Haifa,Yizre'eliya,4850.0,4.0,1212.5,57.06
Haifa,Neve Shaanan,4000.0,3.0,1333.33,53.33
Haifa,Yizre'eliya,3700.0,3.0,1233.33,49.33
Haifa,Yizre'eliya,3100.0,3.0,1033.33,51.67
Haifa,Yizre'eliya,4600.0,4.0,1150.0,46.0
Haifa,Yizre'eliya,4850.0,4.0,1212.5,48.5
Haifa,Yizre'eliya,5600.0,4.0,1400.0,62.22
Haifa,Neve Shaanan,3400.0,3.5,971.43,40.0
Haifa,Neve Shaanan,3000.0,3.0,1000.0,42.86
Haifa,Neve Paz,3630.0,4.0,907.5,36.3
Haifa,Tel Amal,5100.0,3.5,1457.14,57.95
Haifa,Neve Shaanan,3800.0,3.0,1266.67,47.5
Haifa,Neve Shaanan,4000.0,2.5,1600.0,61.54
Haifa,Neve Shaanan,5800.0,5.0,1160.0,48.33
Haifa,Neve Shaanan,5250.0,4.0,1312.5,52.5
Haifa,Neve Shaanan,3100.0,2.5,1240.0,46.27
Haifa,Neve Shaanan,3000.0,2.5,1200.0,54.55
Haifa,Neve Shaanan,3500.0,4.0,875.0,38.89
Haifa,Neve Paz,3800.0,3.0,1266.67,31.67
