City,Neighborhood,price,rooms,price_per_room,price_per_sqm
Ramat Gan,HaBiluim,7500.0,4.0,1875.0,70.75
Ramat Gan,HaBiluim,4800.0,3.0,1600.0,80.0
Ramat Gan,HaBiluim,5800.0,3.0,1933.33,72.5
Ramat Gan,HaBiluim,5400.0,3.0,1800.0,63.53
Ramat Gan,HaBiluim,10000.0,4.0,2500.0,108.7
Ramat Gan,HaBiluim,6500.0,4.0,1625.0,72.22
Ramat Gan,HaBiluim,6900.0,4.0,1725.0,69.0
Ramat Gan,HaBiluim,6000.0,4.0,1500.0,70.59
Ramat Gan,HaBiluim,7500.0,4.0,1875.0,83.33
Ramat Gan,Neve Yehoshua,6600.0,4.0,1650.0,71.74
Ramat Gan,Negba Complex,6200.0,3.5,1771.43,72.09
Ramat Gan,Tel Ganim,6700.0,3.5,1914.29,69.79
Ramat Gan,Neve Ram,5700.0,3.0,1900.0,103.64
Ramat Gan,Negba Complex,7100.0,4.5,1577.78,78.89
Ramat Gan,Negba Complex,6000.0,3.0,2000.0,84.51
Ramat Gan,Negba Complex,5200.0,3.0,1733.33,57.78
Ramat Gan,Tel Yehuda,7000.0,3.0,2333.33,93.33
Ramat Gan,Tel Yehuda,6900.0,4.0,1725.0,81.18
Ramat Gan,Tel Yehuda,7000.0,3.0,2333.33,100.0
Ramat Gan,Tel Yehuda,9500.0,5.0,1900.0,67.86
Ramat Gan,Tel Yehuda,8000.0,4.0,2000.0,84.21
Ramat Gan,Tel Yehuda,7000.0,4.0,1750.0,76.09
Ramat Gan,Tel Yehuda,8200.0,3.0,2733.33,97.62
Ramat Gan,Tel Yehuda,11000.0,3.0,3666.67,68.75
Ramat Gan,Tel Yehuda,9500.0,4.0,2375.0,73.08
Ramat Gan,Tel Yehuda,4500.0,2.0,2250.0,109.76
Ramat Gan,Tel Yehuda,4600.0,2.0,2300.0,70.77
Ramat Gan,Ramat Yitzhak,9000.0,4.0,2250.0,90.0
Ramat Gan,Ramat Yitzhak,3200.0,1.5,2133.33,114.29
Ramat Gan,גבעת קוזלובסקי,7500.0,3.0,2500.0,78.12
Ramat Gan,Yad Labanim,6900.0,3.5,1971.43,75.0
Ramat Gan,Negba Complex,5600.0,3.0,1866.67,70.0
Ramat Gan,שיינקין,7800.0,4.0,1950.0,60.0
Ramat Gan,Hillel,8700.0,3.0,2900.0,133.85
Ramat Gan,Hillel,8000.0,3.0,2666.67,97.56
Ramat Gan,Hillel,6990.0,3.0,2330.0,102.79
Ramat Gan,Hillel,7200.0,3.0,2400.0,90.0
Ramat Gan,Hillel,9300.0,5.0,1860.0,78.15
Ramat Gan,Hillel,9200.0,5.0,1840.0,77.31
Ramat Gan,Yad Labanim,8300.0,4.0,2075.0,92.22
Ramat Gan,Hillel,4000.0,2.0,2000.0,72.73
Ramat Gan,Hillel,8100.0,4.0,2025.0,90.0
Ramat Gan,Hillel,7200.0,3.0,2400.0,102.86
Ramat Gan,Hillel,11000.0,7.0,1571.43,40.74
Ramat Gan,Hillel,6190.0,3.0,2063.33,88.43
Ramat Gan,Hillel,6800.0,3.0,2266.67,97.14
Ramat Gan,Hillel,8200.0,4.0,2050.0,93.18
Ramat Gan,Hillel,8500.0,4.0,2125.0,96.59
Ramat Gan,Hillel,7500.0,3.0,2500.0,93.75
Ramat Gan,Hillel,4750.0,2.5,1900.0,67.86
Ramat Gan,Hillel,8500.0,3.0,2833.33,113.33
Ramat Gan,Hillel,5500.0,3.0,1833.33,84.62
Ramat Gan,Hillel,9000.0,5.0,1800.0,79.65
Ramat Gan,Hillel,8300.0,4.0,2075.0,89.25
Ramat Gan,Hillel,9300.0,3.0,3100.0,93.0
Ramat Gan,Hillel,7500.0,3.0,2500.0,107.14
Ramat Gan,Har Shalom,6900.0,3.0,2300.0,98.57
Ramat Gan,Hillel,7400.0,3.0,2466.67,94.87
Ramat Gan,Hillel,8400.0,4.0,2100.0,93.33
Ramat Gan,Hillel,8200.0,4.0,2050.0,91.11
Ramat Gan,Hillel,8800.0,4.0,2200.0,97.78
Ramat Gan,Hillel,9700.0,3.0,3233.33,129.33
Ramat Gan,Hillel,7500.0,4.0,1875.0,83.33
Ramat Gan,Hillel,9300.0,5.0,1860.0,82.3
Ramat Gan,Yad Labanim,7500.0,3.0,2500.0,102.74
Ramat Gan,Hillel,6500.0,2.0,3250.0,112.07
Ramat Gan,Har Shalom,9500.0,5.0,1900.0,88.79
Ramat Gan,City Center C,7900.0,4.5,1755.56,79.0
Ramat Gan,Yad Labanim,4200.0,2.5,1680.0,64.62
Ramat Gan,Poalei HaRakevet,4200.0,2.5,1680.0,60.0
Ramat Gan,City Center C,4900.0,2.0,2450.0,81.67
Ramat Gan,Har Shalom,6500.0,5.0,1300.0,54.17
Ramat Gan,City Center C,20600.0,5.0,4120.0,114.44
Ramat Gan,Yad Labanim,8500.0,4.0,2125.0,85.0
Ramat Gan,Poalei HaRakevet,4750.0,2.0,2375.0,79.17
Ramat Gan,Bursa District,5900.0,3.0,1966.67,98.33
Ramat Gan,Bursa District,8000.0,3.0,2666.67,83.33
Ramat Gan,Bursa District,8500.0,3.0,2833.33,94.44
Ramat Gan,Bursa District,6800.0,2.0,3400.0,113.33
Ramat Gan,Bursa District,9900.0,3.0,3300.0,110.0
Ramat Gan,Bursa District,7200.0,2.0,3600.0,102.86
Ramat Gan,Bursa District,8300.0,3.0,2766.67,75.45
Ramat Gan,Bursa District,11000.0,3.0,3666.67,122.22
Ramat Gan,HaRishonim,6499.0,3.0,2166.33,66.32
Ramat Gan,HaRishonim,8500.0,4.0,2125.0,100.0
Ramat Gan,Haruzim,8500.0,3.0,2833.33,101.19
Ramat Gan,Haruzim,5900.0,2.5,2360.0,118.0
Ramat Gan,Haruzim,5700.0,2.5,2280.0,81.43
Ramat Gan,HaRishonim,7000.0,4.0,1750.0,87.5
Ramat Gan,HaRishonim,7000.0,3.0,2333.33,79.55
Ramat Gan,Tel Binyamin,15500.0,5.0,3100.0,99.36
Ramat Gan,HaRishonim,6700.0,4.0,1675.0,70.53
