City,Neighborhood,price,rooms,price_per_room,price_per_sqm
Tel Aviv,Florentin,11000.0,3.0,3666.67,164.18
Tel Aviv,Florentin,8950.0,3.0,2983.33,124.31
Tel Aviv,Florentin,15000.0,5.0,3000.0,125.0
Tel Aviv,Florentin,22000.0,5.0,4400.0,133.33
Tel Aviv,Florentin,7500.0,2.0,3750.0,159.57
Tel Aviv,Florentin,7700.0,3.0,2566.67,132.76
Tel Aviv,Florentin,6000.0,2.0,3000.0,150.0
Tel Aviv,Florentin,8250.0,3.0,2750.0,142.24
Tel Aviv,Florentin,6200.0,2.0,3100.0,155.0
Tel Aviv,Florentin,7800.0,3.0,2600.0,111.43
Tel Aviv,Florentin,6500.0,2.5,2600.0,130.0
Tel Aviv,Florentin,7000.0,2.0,3500.0,155.56
Tel Aviv,Florentin,5290.0,1.5,3526.67,117.56
Tel Aviv,Florentin,7200.0,3.0,2400.0,90.0
Tel Aviv,Florentin,8000.0,4.0,2000.0,114.29
Tel Aviv,Florentin,7800.0,3.0,2600.0,86.67
Tel Aviv,Florentin,4500.0,2.0,2250.0,112.5
Tel Aviv,Florentin,7300.0,2.0,3650.0,119.67
Tel Aviv,Florentin,10450.0,3.0,3483.33,124.4
Tel Aviv,Florentin,12500.0,3.0,4166.67,143.68
Tel Aviv,Florentin,11200.0,3.0,3733.33,167.16
Tel Aviv,Florentin,7000.0,2.0,3500.0,148.94
Tel Aviv,Florentin,7500.0,3.0,2500.0,68.18
Tel Aviv,Florentin,7200.0,2.5,2880.0,124.14
Tel Aviv,Florentin,8250.0,3.0,2750.0,135.25
Tel Aviv,Florentin,18000.0,5.0,3600.0,146.34
Tel Aviv,Florentin,8900.0,4.0,2225.0,109.88
Tel Aviv,Florentin,6900.0,2.0,3450.0,130.19
Tel Aviv,South Florentin,5000.0,3.0,1666.67,76.92
Tel Aviv,Neve Shaanan,7000.0,2.0,3500.0,116.67
Tel Aviv,Neve Tzedek,11000.0,2.0,5500.0,183.33
Tel Aviv,Neve Tzedek,20000.0,3.0,6666.67,168.07
Tel Aviv,Neve Shaanan,4650.0,2.0,2325.0,116.25
Tel Aviv,Neve Shaanan,3950.0,1.5,2633.33,106.76
Tel Aviv,Noga,12500.0,3.0,4166.67,192.31
Tel Aviv,Neve Shaanan,6800.0,2.0,3400.0,109.68
Tel Aviv,Neve Shaanan,12500.0,3.0,4166.67,156.25
Tel Aviv,Neve Tzedek,39000.0,4.0,9750.0,260.0
Tel Aviv,Neve Tzedek,13000.0,3.0,4333.33,125.0
Tel Aviv,Neve Tzedek,30000.0,5.0,6000.0,192.31
Tel Aviv,Neve Shaanan,4000.0,2.0,2000.0,100.0
Tel Aviv,South Rothschild,6000.0,3.0,2000.0,109.09
Tel Aviv,Neve Tzedek,16000.0,3.0,5333.33,219.18
Tel Aviv,Neve Tzedek,10000.0,2.0,5000.0,153.85
Tel Aviv,Old North Southwest,6200.0,2.0,3100.0,116.98
Tel Aviv,Old North Southwest,15000.0,3.0,5000.0,200.0
Tel Aviv,Lev Tel Aviv West,15000.0,3.0,5000.0,214.29
Tel Aviv,Old North Southwest,4800.0,1.5,3200.0,96.0
Tel Aviv,Old North Southwest,8000.0,3.0,2666.67,84.21
Tel Aviv,Old North Southwest,16900.0,5.0,3380.0,116.55
Tel Aviv,Old North Southwest,14500.0,3.0,4833.33,207.14
Tel Aviv,Old North Southwest,13400.0,4.0,3350.0,163.41
Tel Aviv,Old North Southwest,16000.0,3.0,5333.33,160.0
Tel Aviv,Old North Southwest,7800.0,2.0,3900.0,162.5
Tel Aviv,Old North Southwest,8400.0,3.0,2800.0,93.33
Tel Aviv,Old North Southwest,14900.0,4.0,3725.0,135.45
Tel Aviv,Old North Southwest,8500.0,2.0,4250.0,130.77
Tel Aviv,Old North Southwest,22000.0,4.0,5500.0,200.0
Tel Aviv,Old North Southwest,12000.0,3.0,4000.0,150.0
Tel Aviv,Old North Southwest,16000.0,3.0,5333.33,152.38
Tel Aviv,Old North Southwest,12900.0,4.0,3225.0,144.94
Tel Aviv,Frishman,12500.0,3.0,4166.67,126.26
Tel Aviv,Old North Southwest,9000.0,2.5,3600.0,142.86
Tel Aviv,Old North Southwest,5500.0,2.5,2200.0,96.49
Tel Aviv,Old North Southwest,32000.0,4.0,8000.0,256.0
Tel Aviv,Old North Southwest,15000.0,4.0,3750.0,93.75
Tel Aviv,Lev Tel Aviv West,14000.0,3.0,4666.67,175.0
Tel Aviv,Old North Southwest,13900.0,3.0,4633.33,198.57
Tel Aviv,Old North Southwest,6200.0,2.0,3100.0,147.62
Tel Aviv,Old North Southwest,12500.0,4.0,3125.0,152.44
Tel Aviv,Old North Southwest,9000.0,2.0,4500.0,66.67
Tel Aviv,Old North Southwest,13500.0,3.0,4500.0,180.0
Tel Aviv,Old North Southwest,6900.0,2.0,3450.0,106.15
Tel Aviv,Old North Southwest,12000.0,4.0,3000.0,146.34
Tel Aviv,Old North Southwest,17000.0,3.0,5666.67,77.27
Tel Aviv,Old North Southwest,12000.0,3.0,4000.0,150.0
Tel Aviv,Old North Southwest,13000.0,4.0,3250.0,152.94
Tel Aviv,Old North Southwest,19800.0,4.0,4950.0,188.57
Tel Aviv,Old North Southwest,35000.0,4.0,8750.0,280.0
Tel Aviv,Old North Southeast,14900.0,2.0,7450.0,177.38
Tel Aviv,Lev Tel Aviv West,11700.0,3.5,3342.86,117.0
Tel Aviv,Lev Tel Aviv West,9950.0,3.0,3316.67,142.14
Tel Aviv,Old North Southeast,14900.0,2.0,7450.0,169.32
Tel Aviv,Old North Southeast,6800.0,2.0,3400.0,136.0
Tel Aviv,Old North North,5500.0,1.5,3666.67,137.5
Tel Aviv,Old North North,7500.0,2.0,3750.0,136.36
Tel Aviv,Old North North,9500.0,3.0,3166.67,146.15
Tel Aviv,Old North North,11000.0,3.0,3666.67,169.23
Tel Aviv,Old North North,5300.0,2.0,2650.0,117.78
Tel Aviv,Old North North,19500.0,4.0,4875.0,195.0
Tel Aviv,Old North North,9500.0,2.5,3800.0,131.94
Tel Aviv,Old North North,6500.0,2.0,3250.0,162.5
Tel Aviv,Old North North,7300.0,2.5,2920.0,93.59
Tel Aviv,Old North North,7000.0,3.0,2333.33,100.0
Tel Aviv,Old North North,8700.0,2.5,3480.0,145.0
Tel Aviv,Tel Aviv Port,10500.0,3.0,3500.0,123.53
Tel Aviv,Old North North,8499.0,2.0,4249.5,188.87
Tel Aviv,Old North North,9500.0,3.0,3166.67,158.33
Tel Aviv,Old North North,7800.0,2.0,3900.0,141.82
Tel Aviv,Old North North,10550.0,3.0,3516.67,140.67
Tel Aviv,Old North North,10000.0,3.0,3333.33,125.0
Tel Aviv,Old North Central,11200.0,4.0,2800.0,121.74
Tel Aviv,Old North North,8500.0,3.0,2833.33,154.55
Tel Aviv,Old North North,10900.0,3.0,3633.33,155.71
Tel Aviv,Old North North,8000.0,2.5,3200.0,114.29
Tel Aviv,Old North North,12500.0,3.0,4166.67,166.67
Tel Aviv,Old North North,8400.0,2.0,4200.0,120.0
Tel Aviv,Old North North,8700.0,3.0,2900.0,124.29
Tel Aviv,Old North North,14000.0,3.0,4666.67,140.0
Tel Aviv,Old North North,7600.0,3.0,2533.33,101.33
Tel Aviv,Old North North,4900.0,2.0,2450.0,98.0
Tel Aviv,Old North North,8500.0,4.0,2125.0,121.43
Tel Aviv,Old North North,28500.0,3.0,9500.0,219.23
Tel Aviv,Old North North,21500.0,5.0,4300.0,153.57
