"css-u1nut8 href","css-hqth87","css-q8j3hw","css-q8j3hw 2","css-q8j3hw 3","css-n4p85g","css-afgd57"
"https://www.madlan.co.il/listings/eslrZ0ftj9e","‏4,400 ‏₪","3.5 חד׳","קומה 15","65 מ""ר","דירה, עין דור 11, עיר תחתית",""
"https://www.madlan.co.il/listings/mJeos6pwRle","‏3,000 ‏₪","חדר אחד","קומת קרקע","34 מ""ר","דירה, עין דור 11, עיר תחתית",""
"https://www.madlan.co.il/listings/rW6tcJsJ8aw","‏3,750 ‏₪","חדר אחד","קומה 1","30 מ""ר","דירה, משה אהרון 1, עיר תחתית","תיווך"
"https://www.madlan.co.il/listings/xvI4aPSvGy0","‏4,000 ‏₪","חדר אחד","קומה 1","40 מ""ר","סטודיו/לופט, משה אהרון 1, עיר תחתית","תיווך"
"https://www.madlan.co.il/listings/jXxyj5lA4ZB","‏1,950 ‏₪","2.5 חד׳","קומה 1","45 מ""ר","סטודיו/לופט, יפו 38, עיר תחתית",""
"https://www.madlan.co.il/listings/DrfRaP9pOvk","‏4,600 ‏₪","3 חד׳","קומה 2","70 מ""ר","דירה, נתן קיזרמן 11, עיר תחתית",""
"https://www.madlan.co.il/listings/znJfD2Osvuv","‏3,750 ‏₪","חדר אחד","קומה 1","30 מ""ר","דירה, משה אהרון 1, עיר תחתית","תיווך"
"https://www.madlan.co.il/listings/dklXd0vxxvs","‏3,750 ‏₪","חדר אחד","קומה 1","30 מ""ר","סטודיו/לופט, משה אהרון 1, עיר תחתית","תיווך"
"https://www.madlan.co.il/listings/ley5CpmptnK","‏2,250 ‏₪","חדר אחד","קומה 2","30 מ""ר","דירה, העצמאות 59, עיר תחתית",""
"https://www.madlan.co.il/listings/y8Bc0jfAFeh","‏3,150 ‏₪","2 חד׳","קומה 2","80 מ""ר","דירה, קיזרמן נתן 1, עיר תחתית",""
"https://www.madlan.co.il/listings/AFZhyBYwC9x","‏4,500 ‏₪","3 חד׳","קומה 16","60 מ""ר","דירה, העין דור 11, עיר תחתית","תיווך"
"https://www.madlan.co.il/listings/k8bNQj4qu0L","‏4,200 ‏₪","2 חד׳","קומה 4","80 מ""ר","דירה, המגינים 46, עיר תחתית","תיווך"
"https://www.madlan.co.il/listings/P80fd6aPNkw","‏2,500 ‏₪","חדר אחד","קומה 2","30 מ""ר","דירה, נתן קיזרמן 5, עיר תחתית",""
"https://www.madlan.co.il/listings/lca2oci2ldr","‏2,600 ‏₪","חדר אחד","קומה 1","40 מ""ר","דירה, נתן קיזרמן 5, עיר תחתית",""
"https://www.madlan.co.il/listings/e1aTLi7XiYr","‏4,000 ‏₪","2 חד׳","קומה 1","65 מ""ר","דירה, המגינים 46, עיר תחתית","תיווך"
"https://www.madlan.co.il/listings/OjdoXAt56Hk","‏4,200 ‏₪","2 חד׳","קומה 3","80 מ""ר","דירה, המגינים 46, עיר תחתית","תיווך"
"https://www.madlan.co.il/listings/ACaANR2gxQQ","‏2,500 ‏₪","חדר אחד","קומה 3","30 מ""ר","דירה, נתן קיזרמן 5, עיר תחתית",""
"https://www.madlan.co.il/listings/khdS62XsAu4","","חדר אחד","קומה 2","25 מ""ר","דירה, כיאט , עיר תחתית","תיווך"
"https://www.madlan.co.il/listings/h991RhjGXNh","‏2,100 ‏₪","5 חד׳","קומה 1","120 מ""ר","דירה, הנמל 2, עיר תחתית","תיווך"
"https://www.madlan.co.il/listings/7bilRUEQ5xn","‏2,600 ‏₪","3 חד׳","קומה 3","55 מ""ר","דירה, שיבת ציון 1, עיר תחתית","תיווך"
"https://www.madlan.co.il/listings/XhzAVR0EgoS","‏1,800 ‏₪","2 חד׳","קומת קרקע","30 מ""ר","דירה, הנאמנים 10, עיר תחתית","תיווך"
"https://www.madlan.co.il/listings/fxLZBa4E5FT","","חדר אחד","קומה 1","20 מ""ר","דירה, הבנקים 9, עיר תחתית","תיווך"
"https://www.madlan.co.il/listings/vtjyd5dXPBW","‏2,600 ‏₪","1.5 חד׳","קומה 2","25 מ""ר","דירה, נתנזון 19, עיר תחתית","תיווך"
"https://www.madlan.co.il/listings/OAsBJepfd7r","‏3,680 ‏₪","3.5 חד׳","קומה 3","80 מ""ר","דירה, אלנבי 10, עיר תחתית","תיווך"
"https://www.madlan.co.il/listings/2QmeFHyHiS2","‏1,700 ‏₪","חדר אחד","קומה 1","20 מ""ר","דירה מחולקת, דרך יפו 49, עיר תחתית","תיווך"
"https://www.madlan.co.il/listings/K7CWa3tWu5p","‏2,500 ‏₪","2.5 חד׳","קומה 2","55 מ""ר","דירה, נאמנים 8, עיר תחתית","תיווך"
"https://www.madlan.co.il/listings/k8Og1oDUEgm","‏5,200 ‏₪","2 חד׳","קומה 14","60 מ""ר","דירה, אחד העם 6, הדר הכרמל",""
"https://www.madlan.co.il/listings/UrHNJZQsZsy","‏3,000 ‏₪","2.5 חד׳","קומה 2","70 מ""ר","דירה, שבתאי לוי 15, הדר הכרמל",""
"https://www.madlan.co.il/listings/1o8RNOYuWky","‏4,500 ‏₪","3 חד׳","קומה 5","85 מ""ר","דירה, שפירא , הדר הכרמל","תיווך"
"https://www.madlan.co.il/listings/9rYc4yZaY7p","‏2,300 ‏₪","2 חד׳","קומה 3","40 מ""ר","דירה, לבונטין 13, הדר הכרמל","תיווך"
"https://www.madlan.co.il/listings/f4LDEI3pxPx","‏3,500 ‏₪","3.5 חד׳","קומה 1","90 מ""ר","דירה, אחד העם 9, הדר הכרמל",""
"https://www.madlan.co.il/listings/TPgSs06Cez7","‏3,200 ‏₪","3 חד׳","קומה 4","140 מ""ר","דירת גג, אבן סינא 3, הדר הכרמל",""
"https://www.madlan.co.il/listings/507WgubFwhE","‏4,100 ‏₪","4 חד׳","קומה 1","90 מ""ר","דירה, חורי , ואדי ניסנאס","בבלעדיות"
"https://www.madlan.co.il/listings/QnQTDoHZwe6","‏6,500 ‏₪","3 חד׳","קומה 6","80 מ""ר","פנטהאוז, שפירא 5, הדר הכרמל","תיווך"
"https://www.madlan.co.il/listings/hU3LOFu1ghg","‏3,000 ‏₪","2.5 חד׳","קומה 2","55 מ""ר","דירה, ביאליק 5, הדר הכרמל",""
"https://www.madlan.co.il/listings/augxUfZHT9Y","‏3,250 ‏₪","3 חד׳","קומה 3","60 מ""ר","דירה, שפירא 1, הדר הכרמל",""
"https://www.madlan.co.il/listings/QTWZ5Tukqqs","‏3,800 ‏₪","3 חד׳","קומת קרקע","80 מ""ר","דירת גן, חסן שוקרי 8, הדר הכרמל","תיווך"
"https://www.madlan.co.il/listings/BV4ydW7Zblv","‏3,700 ‏₪","3 חד׳","קומת קרקע","75 מ""ר","דירת גן, חסן שוקרי 8, הדר הכרמל","תיווך"
"https://www.madlan.co.il/listings/cVekpbJFJEX","‏3,500 ‏₪","3 חד׳","קומת קרקע","64 מ""ר","דירת גן, חסן שוקרי 8, הדר הכרמל","תיווך"
"https://www.madlan.co.il/listings/3EK4CIDGF0I","‏2,800 ‏₪","2.5 חד׳","קומה 1","65 מ""ר","דירה, שמריהו לוין , הדר הכרמל","תיווך"
"https://www.madlan.co.il/listings/xbFMLyX6BZv","‏3,100 ‏₪","3 חד׳","קומה 3","80 מ""ר","דירה, דרך יפו 73, מאי","תיווך"
"https://www.madlan.co.il/listings/ta4XEJB6pvl","‏2,400 ‏₪","2 חד׳","קומה 4","28 מ""ר","דירה, לבונטין 13, הדר הכרמל","תיווך"
"https://www.madlan.co.il/listings/gU5cFbQI36D","","15 חד׳","450 מ""ר","","בניין, פרץ י. ל. 15, הדר הכרמל","תיווך"
