"css-u1nut8 href","css-hqth87","css-q8j3hw","css-q8j3hw 2","css-n4p85g","css-q8j3hw 3","css-afgd57"
"https://www.madlan.co.il/listings/pd4ihKTR3KE","‏30,000 ‏₪","4.5 חד׳","180 מ""ר","בית פרטי, אריה לוין 1, נחלאות","",""
"https://www.madlan.co.il/listings/Tje6G9yu7xK","‏13,000 ‏₪","7 חד׳","קומה 2","דירה, הגלבוע 12, נחלאות","130 מ""ר",""
"https://www.madlan.co.il/projects/%D7%9E%D7%92%D7%A8%D7%A9_23_24_%D7%9E%D7%95%D7%A8%D7%93%D7%AA_%D7%90%D7%A8%D7%A0%D7%95%D7%A0%D7%94_%D7%99%D7%A8%D7%95%D7%A9%D7%9C%D7%99%D7%9D_%D7%94%D7%A9%D7%9B%D7%A8%D7%94","","דירות 4-2 חד׳","9 קומות","שמעון מישורי 5, מורדות ארנונה, ירושלים","החל מ - ‏6,600 ‏₪",""
"https://www.madlan.co.il/listings/JJPkWJHzUPm","‏6,200 ‏₪","2 חד׳","קומה 6","דירה, אגריפס 8, נחלאות","60 מ""ר","תיווך"
"https://www.madlan.co.il/listings/kaMaGPk2Njd","‏8,000 ‏₪","3 חד׳","קומה 3","דירה, נחלאות","75 מ""ר","תיווך"
"https://www.madlan.co.il/listings/j7pZlXF8Hwp","‏21,500 ‏₪","5.5 חד׳","קומת קרקע","קוטג', בצלאל 90, נחלאות","145 מ""ר",""
"https://www.madlan.co.il/listings/CDLANZPpn8k","‏7,500 ‏₪","3 חד׳","קומה 1","דירה, ביבאס 12, נחלאות","50 מ""ר",""
"https://www.madlan.co.il/listings/RRJ6cbhn89x","‏8,800 ‏₪","4 חד׳","קומת קרקע","דירה, נחלאות","114 מ""ר","תיווך"
"https://www.madlan.co.il/listings/Ay7ovqBdda7","‏11,000 ‏₪","4 חד׳","קומה 3","דירה, מני אליהו 6, נחלאות","115 מ""ר","תיווך"
"https://www.madlan.co.il/listings/HrHs3Jv72EO","‏6,500 ‏₪","2 חד׳","קומה 2","דירה, אבישר , נחלאות","48 מ""ר","תיווך"
"https://www.madlan.co.il/listings/6xQRvYCpJb5","‏6,500 ‏₪","2 חד׳","קומה 3","דירה, דוד אבישר 11, נחלאות","50 מ""ר","תיווך"
"https://www.madlan.co.il/listings/3XltrYhmLnv","‏9,900 ‏₪","3 חד׳","קומה 2","דירה, אגריפס , מרכז העיר","80 מ""ר","תיווך"
"https://www.madlan.co.il/listings/CDFGBLog0oE","‏5,700 ‏₪","2 חד׳","קומה 1","דירה, ענתות , נחלאות","45 מ""ר","תיווך"
"https://www.madlan.co.il/listings/polAEhnGBnx","‏8,650 ‏₪","3.5 חד׳","קומה 1","דירת גג, שילה , נחלאות","80 מ""ר","תיווך"
"https://www.madlan.co.il/listings/hxr6uMBRyiL","‏5,500 ‏₪","2 חד׳","קומה 3","דירה, יפו 103, נחלאות","55 מ""ר","תיווך"
"https://www.madlan.co.il/listings/7rfiQfNxXsL","‏6,700 ‏₪","2.5 חד׳","קומה 4","דירה, אגריפס 40, נחלאות","65 מ""ר","תיווך"
"https://www.madlan.co.il/listings/YJwo0VlLezT","‏7,900 ‏₪","2 חד׳","קומה 2","דירה, סומך עובדיה , נחלאות","53 מ""ר","תיווך"
"https://www.madlan.co.il/listings/LGXU025uFsD","‏25,000 ‏₪","4 חד׳","קומת קרקע","בית פרטי, נחלאות","200 מ""ר","תיווך"
"https://www.madlan.co.il/listings/iDWezmfSR1b","‏28,000 ‏₪","5 חד׳","קומת קרקע","קוטג', צפורי , נחלאות","210 מ""ר","תיווך"
"https://www.madlan.co.il/listings/WRbOA8l3Hxw","‏9,500 ‏₪","3 חד׳","קומה 1","דירה, נסים בכר , נחלאות","100 מ""ר","תיווך"
"https://www.madlan.co.il/listings/6KzAQ14Yh92","‏7,500 ‏₪","2.5 חד׳","קומה 10","דירה, ראול ולנברג 3, מרכז העיר","50 מ""ר",""
"https://www.madlan.co.il/listings/JumgtKI0hQ8","‏4,800 ‏₪","1.5 חד׳","קומה 2","דירה, בן יהודה 23, מרכז העיר","28 מ""ר",""
"https://www.madlan.co.il/listings/GZfJv9Sm8Go","‏8,000 ‏₪","3 חד׳","קומה 5","דירה, אבן ישראל 3, מרכז העיר","78 מ""ר","תיווך"
"https://www.madlan.co.il/listings/KB2c6CM5sQf","‏11,800 ‏₪","3 חד׳","קומה 20","דירה, ראול ולנברג , מרכז העיר","70 מ""ר","תיווך"
"https://www.madlan.co.il/listings/1XnZaKqRw4p","‏15,000 ‏₪","4 חד׳","קומה 3","דירה, המעלות , מרכז העיר","120 מ""ר","תיווך"
"https://www.madlan.co.il/listings/GE9TzRySIY4","‏9,450 ‏₪","2 חד׳","קומה 2","דירה, בן צבי , קרית הלאום","60 מ""ר","תיווך"
"https://www.madlan.co.il/listings/IdhvsbBKqDC","‏6,500 ‏₪","חדר אחד","קומת קרקע","דירה, טרומפלדור , מרכז העיר","40 מ""ר","תיווך"
"https://www.madlan.co.il/listings/eEKPqbaX6sP","‏5,700 ‏₪","2 חד׳","קומה 5","דירה, אבן ישראל 3, מרכז העיר","55 מ""ר","תיווך"
"https://www.madlan.co.il/listings/b3M1AdKSa1F","‏4,300 ‏₪","חדר אחד","40 מ""ר","יחידת דיור, יפו 72, מרכז העיר","","תיווך"
"https://www.madlan.co.il/listings/FqVJCmnfp0a","‏3,700 ‏₪","חדר אחד","קומה 5","דירה, בן יהודה 34, מרכז העיר","30 מ""ר","תיווך"
"https://www.madlan.co.il/listings/vOjZMmPepDm","‏5,000 ‏₪","2 חד׳","קומה 1","דירה, מרכז העיר","50 מ""ר","תיווך"
"https://www.madlan.co.il/listings/6TLovTdYRd8","‏21,000 ‏₪","5 חד׳","מרתף","קוטג', יפו , מקור ברוך","140 מ""ר","תיווך"
"https://www.madlan.co.il/listings/igCu8iIIgW8","‏9,500 ‏₪","3 חד׳","קומה 4","דירה, קינג גורג , מרכז העיר","70 מ""ר","תיווך"
"https://www.madlan.co.il/listings/GS27AMQrcho","‏8,200 ‏₪","3 חד׳","קומה 10","דירה, המתמיד מבוא 16, מרכז העיר","75 מ""ר","תיווך"
"https://www.madlan.co.il/listings/qB7uaAXO3ug","‏40,000 ‏₪","5 חד׳","קומה 13","דירה, יפו 180, מקור ברוך","300 מ""ר","תיווך"
"https://www.madlan.co.il/listings/9fzIh0nilBf","‏10,000 ‏₪","4 חד׳","קומה 2","דירה, מסילת ישרים , מרכז העיר","95 מ""ר","תיווך"
"https://www.madlan.co.il/listings/lSTIJMNsrPC","‏15,000 ‏₪","4 חד׳","קומה 7","דירה, מאיר שחם , מרכז העיר","115 מ""ר","תיווך"
"https://www.madlan.co.il/listings/ZRVFz9ilnfx","‏19,000 ‏₪","4 חד׳","קומה 21","דירה, מאיר שחם 4, מרכז העיר","119 מ""ר","תיווך"
