"css-u1nut8 href","css-17p3j9b src","thumbnail-logo href","thumbnail-logo src","css-hqth87","css-q8j3hw","css-q8j3hw 2","css-q8j3hw 3","css-n4p85g","css-afgd57"
"https://www.madlan.co.il/listings/lhPk9ryUXO1","https://images2.madlan.co.il/t:nonce:v=2;resize:height=328;convert:type=webp/bulletins/WhatsApp_Image_2026-04-14_at_10.33.32-92c9c9a3-f105-43c8-8433-83ea87643bd6.jpeg","https://www.madlan.co.il/agentsOffice/re_office_hgWlIjQHmnm","https://images2.madlan.co.il/t:nonce:v=2;resize:height=56;convert:type=webp/realEstateAgent/office/re_office_hgWlIjQHmnm_1526453392236.jpg","‏16,450 ‏₪","4 חד׳","קומה 3","130 מ""ר","פנטהאוז, עמק רפאים 10 10, המושבה הגרמנית","תיווך"
"https://www.madlan.co.il/listings/lZIokKf3d1T","https://images2.madlan.co.il/t:nonce:v=2;resize:height=328;convert:type=webp/bulletins/cc4cb6d2-6f27-4967-be00-7ee12be5f840-eb421280-8ac6-4e6f-b9b9-c2c307050943.jpeg","https://www.madlan.co.il/agentsOffice/re_office_knIVFSDHxXS","https://images2.madlan.co.il/t:nonce:v=2;resize:height=56;convert:type=webp/realEstateAgent/office/re_office_knIVFSDHxXS_1661427664917.jpg","‏30,000 ‏₪","6 חד׳","קומת קרקע","200 מ""ר","קוטג', המושבה הגרמנית","תיווך"
"https://www.madlan.co.il/projects/%D7%9E%D7%92%D7%A8%D7%A9_23_24_%D7%9E%D7%95%D7%A8%D7%93%D7%AA_%D7%90%D7%A8%D7%A0%D7%95%D7%A0%D7%94_%D7%99%D7%A8%D7%95%D7%A9%D7%9C%D7%99%D7%9D_%D7%94%D7%A9%D7%9B%D7%A8%D7%94","https://images2.madlan.co.il/t:nonce:v=2/projects/%D7%9E%D7%92%D7%A8%D7%A9_23_24_%D7%9E%D7%95%D7%A8%D7%93%D7%AA_%D7%90%D7%A8%D7%A0%D7%95%D7%A0%D7%94_%D7%99%D7%A8%D7%95%D7%A9%D7%9C%D7%99%D7%9D_%D7%94%D7%A9%D7%9B%D7%A8%D7%94/Artboard%201%20copy%209-80%20-%20Shelly%20Daniszewski-d3835608-de1f-4097-9e9d-155c6a4e6107.jpg","https://www.madlan.co.il/developer/africaIsrael","https://images2.madlan.co.il/t:nonce:v=2;resize:height=56;convert:type=webp/developers/africaIsrael/image814227-ca887ea0-5db6-44d1-bd7a-8b993d56d3b1.jpg","","דירות 4-2 חד׳","9 קומות","החל מ - ‏6,600 ‏₪","שמעון מישורי 5, מורדות ארנונה, ירושלים",""
"https://www.madlan.co.il/listings/0IGhwJ1ikal","https://images2.madlan.co.il/t:nonce:v=2;resize:height=328;convert:type=webp/bulletins/WhatsApp_Image_2026-05-27_at_11.16.19_(4)-65bb1660-d6da-4f62-83d8-5da31f2d2fcf.jpg","https://www.madlan.co.il/agentsOffice/re_office_cISs5Il12an","https://images2.madlan.co.il/t:nonce:v=2;resize:height=56;convert:type=webp/realEstateAgent/office/re_office_cISs5Il12an_1705399277183.jpg","‏10,500 ‏₪","3 חד׳","קומה 3","74 מ""ר","דירה, עוזיה 13, המושבה הגרמנית","תיווך"
"https://www.madlan.co.il/listings/c4Reh9cV0b1","https://images2.madlan.co.il/t:nonce:v=2;resize:height=328;convert:type=webp/bulletins/Dor_Dor_Vedor_8_studio_-_14-e758c931-9781-4c34-bfb7-a415bb6055ca.jpg","https://www.madlan.co.il/agentsOffice/re_office_in1ddxgcOKE","https://images2.madlan.co.il/t:nonce:v=2;resize:height=56;convert:type=webp/realEstateAgent/office/re_office_in1ddxgcOKE_1616487293960.jpg","‏10,000 ‏₪","1.5 חד׳","קומה 1","90 מ""ר","סטודיו/לופט, דור דור ודורשיו , המושבה הגרמנית","תיווך"
"https://www.madlan.co.il/listings/O50VGY3ztm4","https://images2.madlan.co.il/t:nonce:v=2;resize:height=328;convert:type=webp/bulletins/%D7%A2%D7%9E%D7%A7_34_%D7%A4%D7%A8%D7%99%D7%93-53929e2b-ace0-43fe-8124-edfc5bd6a1e7.jpg","https://www.madlan.co.il/agentsOffice/re_office_hC4LZNT4H0Z","https://images2.madlan.co.il/t:nonce:v=2;resize:height=56;convert:type=webp/realEstateOffice/image/%D7%9C%D7%95%D7%92%D7%95_%D7%97-a53cd253-4271-44c3-9154-45c1eaf38b92.jpg","‏9,000 ‏₪","3 חד׳","קומה 2","75 מ""ר","דופלקס, עמק רפאים , המושבה הגרמנית","תיווך"
"https://www.madlan.co.il/listings/uyjYCdJUBIm","","","","‏10,000 ‏₪","1.5 חד׳","קומה 1","90 מ""ר","דירה, המושבה הגרמנית","תיווך"
"https://www.madlan.co.il/listings/N3IMmTYDRPa","","","","‏8,500 ‏₪","4 חד׳","קומה 2","110 מ""ר","דירה, יהושע בן נון , המושבה הגרמנית","תיווך"
"https://www.madlan.co.il/listings/VcD9SEUagLC","","","","‏12,000 ‏₪","3 חד׳","קומה 3","120 מ""ר","פנטהאוז, המושבה הגרמנית","תיווך"
"https://www.madlan.co.il/listings/G6YZg9Rx4Hc","","","","‏30,000 ‏₪","8 חד׳","קומה 1","200 מ""ר","דירה, עמק רפאיים , המושבה הגרמנית","תיווך"
