"css-u1nut8 href","css-17p3j9b src","css-hqth87","css-q8j3hw","css-q8j3hw 2","css-q8j3hw 3","css-n4p85g","css-afgd57"
"https://www.madlan.co.il/listings/IyFIdXqwTFf","https://images2.madlan.co.il/t:nonce:v=2;resize:height=328;convert:type=webp/bulletins/4b243798-78d3-4226-9019-f3ec47fbf036-8352013e-d8cf-4c4d-bc51-1f116993867c.jpeg","‏10,500 ‏₪","5 חד׳","קומה 1","100 מ""ר","דירה, נפתלי 23, בקעה",""
"https://www.madlan.co.il/listings/AW88DXktlc4","https://images2.madlan.co.il/t:nonce:v=2;resize:height=328;convert:type=webp/bulletins/%D7%A1%D7%9C%D7%95%D7%9F_%D7%98%D7%95%D7%A4-3e4ff28b-1ede-4492-a7dc-559e0e2565ef.jpg","‏6,350 ‏₪","3 חד׳","קומה 2","53 מ""ר","דירה, בן יפונה 4, בקעה",""
"https://www.madlan.co.il/projects/%D7%9E%D7%92%D7%A8%D7%A9_23_24_%D7%9E%D7%95%D7%A8%D7%93%D7%AA_%D7%90%D7%A8%D7%A0%D7%95%D7%A0%D7%94_%D7%99%D7%A8%D7%95%D7%A9%D7%9C%D7%99%D7%9D_%D7%94%D7%A9%D7%9B%D7%A8%D7%94","https://images2.madlan.co.il/t:nonce:v=2/projects/%D7%9E%D7%92%D7%A8%D7%A9_23_24_%D7%9E%D7%95%D7%A8%D7%93%D7%AA_%D7%90%D7%A8%D7%A0%D7%95%D7%A0%D7%94_%D7%99%D7%A8%D7%95%D7%A9%D7%9C%D7%99%D7%9D_%D7%94%D7%A9%D7%9B%D7%A8%D7%94/Artboard%201%20copy%209-80%20-%20Shelly%20Daniszewski-d3835608-de1f-4097-9e9d-155c6a4e6107.jpg","","דירות 4-2 חד׳","9 קומות","החל מ - ‏6,600 ‏₪","שמעון מישורי 5, מורדות ארנונה, ירושלים",""
"https://www.madlan.co.il/listings/5IgG1bgevNF","https://images2.madlan.co.il/t:nonce:v=2;resize:height=328;convert:type=webp/bulletins/SilentCameraSoft-1748264196890-91001e07-7a9f-41ce-87c4-56e2ab2e0abb.jpg","‏7,000 ‏₪","4 חד׳","קומה 3","90 מ""ר","דירה, דרך בית לחם , בקעה","תיווך"
"https://www.madlan.co.il/listings/TTI6ae2KymY","https://images2.madlan.co.il/t:nonce:v=2;resize:height=328;convert:type=webp/bulletins/IMG_5172-74a3f315-3591-4f89-b54c-f3b8d69c3585.jpeg","‏6,500 ‏₪","2.5 חד׳","קומה 1","65 מ""ר","דירה, דרך בית לחם , בקעה","תיווך"
"https://www.madlan.co.il/listings/guQGgFdo8Mh","https://images2.madlan.co.il/t:nonce:v=2;resize:height=328;convert:type=webp/bulletins/3569-6127270f-2ac2-4a23-900d-274f0e7a3265.jpg","‏6,200 ‏₪","3 חד׳","קומה 3","60 מ""ר","דירה, פייר קניג 17, בקעה",""
"https://www.madlan.co.il/listings/cyji0hiDlzp","","‏7,900 ‏₪","4.5 חד׳","קומה 3","90 מ""ר","דירה, נפתלי 14, בקעה",""
"https://www.madlan.co.il/listings/mKZAXSj3UK7","","‏6,800 ‏₪","3 חד׳","קומה 2","70 מ""ר","דירה, בן יפונה , בקעה","תיווך"
"https://www.madlan.co.il/listings/3i2qGFc8ECy","","‏10,000 ‏₪","2.5 חד׳","קומה 1","80 מ""ר","דירה, דרך בית לחם , בקעה","תיווך"
"https://www.madlan.co.il/listings/VCVMKeOTt4d","","‏6,500 ‏₪","2 חד׳","קומה 2","36 מ""ר","יחידת דיור, זרובבל 5, בקעה",""
"https://www.madlan.co.il/listings/VXMxOpeMstq","","‏8,500 ‏₪","3.5 חד׳","קומה 5","80 מ""ר","דירה, גדעון 15, בקעה",""
"https://www.madlan.co.il/listings/urlTuYqKODv","","‏11,000 ‏₪","3.5 חד׳","קומה 1","80 מ""ר","דירה, בקעה","תיווך"
"https://www.madlan.co.il/listings/joD5yFui8Ai","","‏4,800 ‏₪","2 חד׳","קומה 3","45 מ""ר","דירה, דרך חברון , בקעה","תיווך"
"https://www.madlan.co.il/listings/ObCsLzHcxYP","","‏30,000 ‏₪","6 חד׳","קומת קרקע","250 מ""ר","בית פרטי, דרך בית לחם 21, בקעה","תיווך"
"https://www.madlan.co.il/listings/9ZNBuP80am3","","‏8,000 ‏₪","3.5 חד׳","קומה 2","80 מ""ר","דירה, יהושע בן נון 35, קטמון א-ו",""
"https://www.madlan.co.il/listings/99GQ4L19K8P","","‏10,500 ‏₪","4 חד׳","קומה 1","85 מ""ר","דירה, יהושע בן נון 31, קטמון א-ו",""
"https://www.madlan.co.il/listings/0IGhwJ1ikal","","‏10,500 ‏₪","3 חד׳","קומה 3","74 מ""ר","דירה, עוזיה 13, המושבה הגרמנית","תיווך"
"https://www.madlan.co.il/listings/O50VGY3ztm4","","‏9,000 ‏₪","3 חד׳","קומה 2","75 מ""ר","דופלקס, עמק רפאים , המושבה הגרמנית","תיווך"
"https://www.madlan.co.il/listings/N3IMmTYDRPa","","‏8,500 ‏₪","4 חד׳","קומה 2","110 מ""ר","דירה, יהושע בן נון , המושבה הגרמנית","תיווך"
"https://www.madlan.co.il/listings/4hIlxb90lLU","","‏370,000 ‏₪","3,300 מ""ר","","","בניין, המושבה הגרמנית","תיווך"
