"css-u1nut8 href","css-hqth87","css-q8j3hw","css-q8j3hw 2","css-q8j3hw 3","css-n4p85g","css-afgd57"
"https://www.madlan.co.il/listings/GrZ2h4inirt","‏7,200 ‏₪","3 חד׳","קומה 1","68 מ""ר","דירה, ישראל אלדד 8, ארנונה (תלפיות)",""
"https://www.madlan.co.il/listings/SmjdwmzwM0C","‏8,750 ‏₪","4 חד׳","קומה 3","90 מ""ר","דירה, יצחק בן דור 1, ארנונה (תלפיות)",""
"https://www.madlan.co.il/projects/%D7%9E%D7%92%D7%A8%D7%A9_23_24_%D7%9E%D7%95%D7%A8%D7%93%D7%AA_%D7%90%D7%A8%D7%A0%D7%95%D7%A0%D7%94_%D7%99%D7%A8%D7%95%D7%A9%D7%9C%D7%99%D7%9D_%D7%94%D7%A9%D7%9B%D7%A8%D7%94","","דירות 4-2 חד׳","9 קומות","החל מ - ‏6,600 ‏₪","שמעון מישורי 5, מורדות ארנונה, ירושלים",""
"https://www.madlan.co.il/listings/eZekcryDcIL","‏5,200 ‏₪","3 חד׳","קומת קרקע","45 מ""ר","יחידת דיור, רבדים , ארנונה (תלפיות)","תיווך"
"https://www.madlan.co.il/listings/QmZ2Xjt5HhN","‏8,200 ‏₪","4 חד׳","קומה 16","130 מ""ר","דירה, השופט חיים כהן 10, ארנונה (תלפיות)","תיווך"
"https://www.madlan.co.il/listings/d6p0UWhg7cz","‏7,000 ‏₪","3 חד׳","קומה 20","73 מ""ר","דירה, השופט חיים כהן 10, ארנונה (תלפיות)",""
"https://www.madlan.co.il/listings/9hZfrlx6JS7","‏6,400 ‏₪","4 חד׳","קומה 2","110 מ""ר","דירה, ארנונה (תלפיות)","תיווך"
"https://www.madlan.co.il/listings/55sz6HCFjhr","‏19,500 ‏₪","6 חד׳","קומה 5","145 מ""ר","פנטהאוז, ארנונה (תלפיות)","תיווך"
"https://www.madlan.co.il/listings/6MnCz8NQb0F","‏9,500 ‏₪","4 חד׳","קומה 20","105 מ""ר","דירה, ארנונה (תלפיות)","תיווך"
"https://www.madlan.co.il/listings/ShLSxAnmrRn","‏9,000 ‏₪","4 חד׳","קומה 10","100 מ""ר","דירה, צבי נוימן , ארנונה (תלפיות)","תיווך"
"https://www.madlan.co.il/listings/8oqIFa8NWNN","‏8,800 ‏₪","3 חד׳","קומת קרקע","83 מ""ר","דירת גן, השופט חיים כהן , ארנונה (תלפיות)","תיווך"
"https://www.madlan.co.il/listings/aXe9UVm8rtf","‏18,000 ‏₪","6 חד׳","קומה 2","160 מ""ר","דופלקס, קורא הדורות 54, ארנונה (תלפיות)","תיווך"
"https://www.madlan.co.il/listings/9Y0dmypmNzL","‏12,000 ‏₪","5 חד׳","קומה 6","125 מ""ר","דירה, שלום יהודה , ארנונה (תלפיות)","תיווך"
"https://www.madlan.co.il/listings/cEKCmyQ0OYo","‏33,000 ‏₪","12 חד׳","קומת קרקע","460 מ""ר","דו משפחתי, רבדים , ארנונה (תלפיות)","תיווך"
"https://www.madlan.co.il/listings/RqC9kzrvkTj","‏9,300 ‏₪","5 חד׳","קומה 12","124 מ""ר","דירה, נבנצל יצחק ארנסט 4, מורדות ארנונה",""
"https://www.madlan.co.il/listings/lE8g453MgHj","‏10,000 ‏₪","5 חד׳","קומה 6","138 מ""ר","דירה, יצחק ארנסט נבנצל 10, מורדות ארנונה",""
"https://www.madlan.co.il/listings/Lx52cZGTRMy","‏5,500 ‏₪","4 חד׳","קומה 2","85 מ""ר","דירה, דרך בית לחם 89, שיכוני תלפיות","תיווך"
"https://www.madlan.co.il/listings/ib3MJaZJyKC","‏8,200 ‏₪","4 חד׳","קומה 5","97 מ""ר","דירה, יצחק ארנסט נבנצל , מורדות ארנונה","תיווך"
"https://www.madlan.co.il/listings/mpPj3Ys3Ols","‏8,300 ‏₪","4 חד׳","קומה 5","100 מ""ר","דירה, בית לחם 166, שיכוני תלפיות",""
"https://www.madlan.co.il/listings/M3dtUtMuvyF","‏7,800 ‏₪","4 חד׳","קומה 2","100 מ""ר","דירה, יעקב נאמן 18, מורדות ארנונה",""
"https://www.madlan.co.il/listings/LBzs16tnni3","‏9,200 ‏₪","5 חד׳","קומה 3","117 מ""ר","דירה, יעקב נאמן , מורדות ארנונה","בבלעדיות"
