"css-u1nut8 href","css-17p3j9b src","css-hqth87","css-q8j3hw","css-q8j3hw 2","css-q8j3hw 3","css-n4p85g","css-afgd57"
"https://www.madlan.co.il/listings/GXaMqg2grn6","https://images2.madlan.co.il/t:nonce:v=2;resize:height=328;convert:type=webp/bulletins/20260512_115131-7ddac7ff-fdf5-4714-8a99-f4b5536a39c9.jpg","‏7,000 ‏₪","3 חד׳","קומה 3","60 מ""ר","דירה, קרן היסוד 7, טלביה",""
"https://www.madlan.co.il/listings/ZGBFwTeNM7P","https://images2.madlan.co.il/t:nonce:v=2;resize:height=328;convert:type=webp/bulletins/1000273259-7584fabf-05b7-47d6-bb5c-5afbd6d5d2e0.jpg","‏5,500 ‏₪","2 חד׳","קומת קרקע","50 מ""ר","דירה, אברהם לינקולן 3, טלביה",""
"https://www.madlan.co.il/projects/%D7%9E%D7%92%D7%A8%D7%A9_23_24_%D7%9E%D7%95%D7%A8%D7%93%D7%AA_%D7%90%D7%A8%D7%A0%D7%95%D7%A0%D7%94_%D7%99%D7%A8%D7%95%D7%A9%D7%9C%D7%99%D7%9D_%D7%94%D7%A9%D7%9B%D7%A8%D7%94","https://images2.madlan.co.il/t:nonce:v=2/projects/%D7%9E%D7%92%D7%A8%D7%A9_23_24_%D7%9E%D7%95%D7%A8%D7%93%D7%AA_%D7%90%D7%A8%D7%A0%D7%95%D7%A0%D7%94_%D7%99%D7%A8%D7%95%D7%A9%D7%9C%D7%99%D7%9D_%D7%94%D7%A9%D7%9B%D7%A8%D7%94/Artboard%201%20copy%209-80%20-%20Shelly%20Daniszewski-d3835608-de1f-4097-9e9d-155c6a4e6107.jpg","","דירות 4-2 חד׳","9 קומות","החל מ - ‏6,600 ‏₪","שמעון מישורי 5, מורדות ארנונה, ירושלים",""
"https://www.madlan.co.il/listings/WpM0rVp48Zi","https://images2.madlan.co.il/t:nonce:v=2;resize:height=328;convert:type=webp/bulletins/28_(2)-52e26ce8-c2cd-4526-bff6-906eaacbe546.jpg","‏21,000 ‏₪","3 חד׳","קומה 2","150 מ""ר","דירה, אגרון , מרכז העיר","תיווך"
"https://www.madlan.co.il/listings/Q0WZiwFkhnS","https://images2.madlan.co.il/t:nonce:v=2;resize:height=328;convert:type=webp/bulletins/20241202_161200-EDIT-d7feaf30-937a-41e7-8149-11008ab1a72f.jpg","‏25,000 ‏₪","4.5 חד׳","קומה 5","135 מ""ר","דירה, ושינגטון , טלביה","תיווך"
"https://www.madlan.co.il/listings/gtBhjioQEkH","https://images2.madlan.co.il/t:nonce:v=2;resize:height=328;convert:type=webp/bulletins/WhatsApp_Image_2026-05-10_at_12.16.13_(1)-ff484afa-5922-4cfc-bc79-95a6c8cd2307.jpeg","‏12,000 ‏₪","4 חד׳","קומה 6","130 מ""ר","דירה, טלביה","תיווך"
"https://www.madlan.co.il/listings/YiHgvB0Bzrv","","‏10,000 ‏₪","3.5 חד׳","קומה 5","110 מ""ר","דירה, ז'בוטינסקי , טלביה","תיווך"
"https://www.madlan.co.il/listings/dCNZTbuNMmG","","","5 חד׳","קומה 7","150 מ""ר","דירה, ז'בוטינסקי , טלביה","תיווך"
"https://www.madlan.co.il/listings/h8ScBXxr0b8","","‏10,000 ‏₪","3.5 חד׳","קומה 5","110 מ""ר","דירה, ז'בוטינסקי , טלביה","תיווך"
"https://www.madlan.co.il/listings/DCalxPJfam8","","‏49,500 ‏₪","6 חד׳","קומה 1","270 מ""ר","דירה, דובנוב 1, טלביה","תיווך"
"https://www.madlan.co.il/listings/79FMAUQXoRo","","‏15,000 ‏₪","4 חד׳","קומה 4","120 מ""ר","דירה, וושינגטון , טלביה","תיווך"
"https://www.madlan.co.il/listings/mrFGp4a2bkZ","","‏25,500 ‏₪","4 חד׳","קומת קרקע","175 מ""ר","דירה, הפלמ""ח 1, קטמון הישנה",""
"https://www.madlan.co.il/listings/FIiMXFiDQih","","‏11,500 ‏₪","4.5 חד׳","קומת קרקע","147 מ""ר","דירת גן, עזה 37, קרית שמואל","בבלעדיות"
"https://www.madlan.co.il/listings/o9IxPXMoXrC","","‏7,250 ‏₪","3 חד׳","קומה 3","68 מ""ר","דירה, רחביה","תיווך"
"https://www.madlan.co.il/listings/KYMaD3X9W44","","‏25,000 ‏₪","6.5 חד׳","קומת קרקע","250 מ""ר","דירת גן, אבן עזרא , רחביה","תיווך"
"https://www.madlan.co.il/listings/3Vpd3YJdTMR","","‏5,500 ‏₪","חדר אחד","קומה 1","50 מ""ר","דירה, קרן קימת , רחביה","תיווך"
"https://www.madlan.co.il/listings/GAi3AmReeCg","","‏12,000 ‏₪","4 חד׳","קומת קרקע","90 מ""ר","דירת גן, אל חריזי 16, רחביה","תיווך"
"https://www.madlan.co.il/listings/kz54zfEoZZY","","‏12,000 ‏₪","4 חד׳","קומת קרקע","90 מ""ר","דירת גן, אל חריזי 16, רחביה","תיווך"
"https://www.madlan.co.il/listings/iMUs9hUpyMv","","‏10,900 ‏₪","3 חד׳","קומה 2","95 מ""ר","דירה, ישמח מלך , ממילא","תיווך"
"https://www.madlan.co.il/listings/tlyaAEor8dc","","‏7,700 ‏₪","3 חד׳","קומה 1","80 מ""ר","דירה, רד""ק , רחביה","תיווך"
"https://www.madlan.co.il/listings/nbMWs2yqyqj","","‏8,500 ‏₪","3.5 חד׳","קומת קרקע","69 מ""ר","דירה, הפלמ""ח 12, קרית שמואל","תיווך"
"https://www.madlan.co.il/listings/KR8L2LkhRFP","","‏25,000 ‏₪","4 חד׳","קומה 3","200 מ""ר","דירה, רחביה","תיווך"
"https://www.madlan.co.il/listings/NUDabLs1W0h","","‏7,650 ‏₪","3 חד׳","קומה 1","80 מ""ר","דירה, רד""ק , רחביה","תיווך"
"https://www.madlan.co.il/listings/cymthF7cdmA","","‏7,800 ‏₪","3 חד׳","קומה 2","80 מ""ר","דירה, הרמב""ן , רחביה","תיווך"
