"css-u1nut8 href","css-hqth87","css-q8j3hw","css-q8j3hw 2","css-q8j3hw 3","css-n4p85g","css-afgd57"
"https://www.madlan.co.il/listings/d6p0UWhg7cz","‏7,000 ‏₪","3 חד׳","קומה 20","73 מ""ר","דירה, השופט חיים כהן 10, ארנונה (תלפיות)",""
"https://www.madlan.co.il/listings/QmZ2Xjt5HhN","‏8,200 ‏₪","4 חד׳","קומה 16","130 מ""ר","דירה, השופט חיים כהן 10, ארנונה (תלפיות)","תיווך"
"https://www.madlan.co.il/projects/%D7%9E%D7%92%D7%A8%D7%A9_23_24_%D7%9E%D7%95%D7%A8%D7%93%D7%AA_%D7%90%D7%A8%D7%A0%D7%95%D7%A0%D7%94_%D7%99%D7%A8%D7%95%D7%A9%D7%9C%D7%99%D7%9D_%D7%94%D7%A9%D7%9B%D7%A8%D7%94","","דירות 4-2 חד׳","9 קומות","החל מ - ‏6,600 ‏₪","שמעון מישורי 5, מורדות ארנונה, ירושלים",""
"https://www.madlan.co.il/listings/6MnCz8NQb0F","‏9,500 ‏₪","4 חד׳","קומה 20","105 מ""ר","דירה, ארנונה (תלפיות)","תיווך"
"https://www.madlan.co.il/listings/ShLSxAnmrRn","‏9,000 ‏₪","4 חד׳","קומה 10","100 מ""ר","דירה, צבי נוימן , ארנונה (תלפיות)","תיווך"
"https://www.madlan.co.il/listings/8oqIFa8NWNN","‏8,800 ‏₪","3 חד׳","קומת קרקע","83 מ""ר","דירת גן, השופט חיים כהן , ארנונה (תלפיות)","תיווך"
"https://www.madlan.co.il/listings/cEKCmyQ0OYo","‏33,000 ‏₪","12 חד׳","קומת קרקע","460 מ""ר","דו משפחתי, רבדים , ארנונה (תלפיות)","תיווך"
"https://www.madlan.co.il/listings/9ZNBuP80am3","‏8,000 ‏₪","3.5 חד׳","קומה 2","80 מ""ר","דירה, יהושע בן נון 35, קטמון א-ו",""
"https://www.madlan.co.il/listings/9sO7H5aA5cz","‏6,600 ‏₪","3 חד׳","קומת קרקע","70 מ""ר","דירה, פלמח 41, קטמון הישנה",""
"https://www.madlan.co.il/listings/A60ji5STkls","‏20,000 ‏₪","5 חד׳","קומה 1","130 מ""ר","דופלקס, אלרואי 9, קטמון הישנה","בבלעדיות"
"https://www.madlan.co.il/listings/FIiMXFiDQih","‏11,500 ‏₪","4.5 חד׳","קומת קרקע","147 מ""ר","דירת גן, עזה 37, קרית שמואל","בבלעדיות"
"https://www.madlan.co.il/listings/99GQ4L19K8P","‏10,500 ‏₪","4 חד׳","קומה 1","85 מ""ר","דירה, יהושע בן נון 31, קטמון א-ו",""
"https://www.madlan.co.il/listings/QTATgwS2hkj","‏9,000 ‏₪","4 חד׳","קומה 7","118 מ""ר","דירה, טהון 17, קרית היובל",""
"https://www.madlan.co.il/listings/LGaiOh5omvA","‏11,000 ‏₪","4 חד׳","קומה 9","152 מ""ר","דירה, מקור חיים 62, מקור חיים","תיווך"
"https://www.madlan.co.il/listings/o9IxPXMoXrC","‏7,250 ‏₪","3 חד׳","קומה 3","68 מ""ר","דירה, רחביה","תיווך"
"https://www.madlan.co.il/listings/jDLiLcdO1nk","‏8,500 ‏₪","5.5 חד׳","קומה 2","116 מ""ר","דירה, בן טבאי 3, קטמון א-ו",""
"https://www.madlan.co.il/listings/mpPj3Ys3Ols","‏8,300 ‏₪","4 חד׳","קומה 5","100 מ""ר","דירה, בית לחם 166, שיכוני תלפיות",""
"https://www.madlan.co.il/listings/Lx52cZGTRMy","‏5,500 ‏₪","4 חד׳","קומה 2","85 מ""ר","דירה, דרך בית לחם 89, שיכוני תלפיות","תיווך"
"https://www.madlan.co.il/listings/aA8WsTls4VD","‏30,000 ‏₪","8 חד׳","קומת קרקע","350 מ""ר","בית פרטי, היען , מלחה","בבלעדיות"
"https://www.madlan.co.il/listings/CbN3ILKW4Ju","‏6,700 ‏₪","3 חד׳","קומה 3","74 מ""ר","דירה, אריה דולצין 44, גבעת משואה",""
"https://www.madlan.co.il/listings/kwhpOXXkfGW","‏4,500 ‏₪","3 חד׳","קומה 1","60 מ""ר","דירת גן, סן מרטין 1, קטמון ח-ט",""
"https://www.madlan.co.il/listings/kyCsPPon9PV","‏7,500 ‏₪","3.5 חד׳","קומה 1","90 מ""ר","דירה, רסקו (גבעת הורדים)","תיווך"
"https://www.madlan.co.il/listings/k523WVOk4It","‏5,200 ‏₪","2 חד׳","קומה 1","50 מ""ר","דירה, רמת שרת","תיווך"
"https://www.madlan.co.il/listings/IyFIdXqwTFf","‏10,500 ‏₪","5 חד׳","קומה 1","100 מ""ר","דירה, נפתלי 23, בקעה",""
"https://www.madlan.co.il/listings/8zNCPfTCjIY","‏7,800 ‏₪","3 חד׳","קומת קרקע","51 מ""ר","דירה, מטודלה 9, רחביה",""
"https://www.madlan.co.il/listings/OCccKsJNv15","‏6,000 ‏₪","2 חד׳","קומה 5","49 מ""ר","דירה, אביטל 13, מקור חיים","תיווך"
"https://www.madlan.co.il/listings/0IGhwJ1ikal","‏10,500 ‏₪","3 חד׳","קומה 3","74 מ""ר","דירה, עוזיה 13, המושבה הגרמנית","תיווך"
"https://www.madlan.co.il/listings/zpl3IdIv7iJ","‏5,900 ‏₪","4 חד׳","קומה 3","85 מ""ר","דירה, הרדוף 17, גילה",""
"https://www.madlan.co.il/listings/guQGgFdo8Mh","‏6,200 ‏₪","3 חד׳","קומה 3","60 מ""ר","דירה, פייר קניג 17, בקעה",""
"https://www.madlan.co.il/listings/20pi1FJfu0w","‏5,900 ‏₪","3 חד׳","קומה 3","45 מ""ר","דירה, עזה , קרית שמואל","תיווך"
"https://www.madlan.co.il/listings/udCIGgGXN53","‏6,500 ‏₪","4 חד׳","קומה 1","100 מ""ר","דירה, טהון 14, קרית היובל","תיווך"
"https://www.madlan.co.il/listings/uJlqYo3AJVt","‏6,000 ‏₪","3 חד׳","קומה 4","55 מ""ר","דירה, הרב שרים יוסף 18, רמת שרת",""
"https://www.madlan.co.il/listings/a2XpqfzkDJO","‏4,000 ‏₪","2 חד׳","קומה 4","40 מ""ר","דירה, יצחק שדה 7, קטמון ח-ט",""
"https://www.madlan.co.il/listings/fUvNXWN6CFa","‏10,000 ‏₪","5 חד׳","קומת קרקע","150 מ""ר","דירה, הנטקה , קרית היובל","תיווך"
"https://www.madlan.co.il/listings/Zb88PA01ksG","‏7,500 ‏₪","4.5 חד׳","קומה 4","79 מ""ר","דירה, שח""ל 49, גבעת מרדכי","בבלעדיות"
"https://www.madlan.co.il/listings/8m8FcTdDjZV","‏7,500 ‏₪","5 חד׳","קומה 1","105 מ""ר","דירה, בוליביה 3, קרית היובל",""
"https://www.madlan.co.il/listings/XsvlgPsN9wz","‏10,500 ‏₪","4 חד׳","קומה 4","87 מ""ר","דירה, רבי חלפתא 12, קטמון א-ו",""
"https://www.madlan.co.il/listings/wBp8qwe5KXX","‏6,500 ‏₪","3 חד׳","קומה 2","78 מ""ר","דירה, המחנכת , גילה","תיווך"
"https://www.madlan.co.il/listings/K3v48LSnUF6","‏12,500 ‏₪","4 חד׳","קומת קרקע","130 מ""ר","דירת גן, אברהם פררה 1, מתחם הולילנד","בבלעדיות"
"https://www.madlan.co.il/listings/omgbSeTtBHz","‏4,950 ‏₪","3 חד׳","קומת קרקע","50 מ""ר","דירה, פטריה 30, מלחה",""
"https://www.madlan.co.il/listings/bsKbf0868wO","‏2,700 ‏₪","1.5 חד׳","קומת קרקע","16 מ""ר","דירה, משה שרת 6, רמת שרת",""
"https://www.madlan.co.il/listings/TXsLWKlmjUw","‏19,000 ‏₪","6.5 חד׳","קומה 1","690 מ""ר","דירה, צבי לייבוביץ 1, רמת שרת","תיווך"
"https://www.madlan.co.il/listings/fOKZ0rcGxtU","‏8,400 ‏₪","4 חד׳","קומה 9","102 מ""ר","דירה, סן מרטין 25, קטמון ח-ט","תיווך"
"https://www.madlan.co.il/listings/RfksKaUWppW","‏4,550 ‏₪","3.5 חד׳","קומה 3","70 מ""ר","דירה, רבי צדוק 15, קטמון ח-ט",""
"https://www.madlan.co.il/listings/LkyKDAinVm3","‏13,800 ‏₪","6 חד׳","קומה 2","90 מ""ר","דירה, דרך עזה 53, קרית שמואל",""
"https://www.madlan.co.il/listings/ILcvuwCRwmK","‏12,000 ‏₪","5 חד׳","קומה 15","125 מ""ר","דירה, טהון , קרית היובל","תיווך"
"https://www.madlan.co.il/listings/XmteEiwqzGm","‏4,700 ‏₪","3 חד׳","קומה 1","72 מ""ר","דירה, הציונות 6, קרית היובל","בבלעדיות"
"https://www.madlan.co.il/listings/VPgxZ6JW65E","‏12,000 ‏₪","5.5 חד׳","קומה 6","140 מ""ר","פנטהאוז, משה קול 19, רמת בית הכרם",""
"https://www.madlan.co.il/listings/TwH41UAVsjD","‏8,000 ‏₪","4 חד׳","קומה 1","100 מ""ר","דירה, פנמה 4, קרית מנחם",""
"https://www.madlan.co.il/listings/hLbK2amgQJT","‏27,000 ‏₪","5 חד׳","קומה 17","170 מ""ר","פנטהאוז, אליעזר הגדול , קטמון א-ו","תיווך"
