"css-u1nut8 href","css-17p3j9b src","css-hqth87","css-q8j3hw","css-q8j3hw 2","css-q8j3hw 3","css-n4p85g","css-afgd57"
"https://www.madlan.co.il/listings/FY4okteDn6V","https://images2.madlan.co.il/t:nonce:v=2;resize:height=328;convert:type=webp/bulletins/1.0-2d640597-3425-4e7c-981d-d55f8a6c4471.jpeg","‏5,500 ‏₪","חדר אחד","קומה 34","35 מ""ר","דירה, שלום זיסמן 14, הבורסה",""
"https://www.madlan.co.il/listings/lO7c8uzm7EW","https://images2.madlan.co.il/t:nonce:v=2;resize:height=328;convert:type=webp/bulletins/IMG-20260524-WA0004-9c29bff0-1a0e-478b-9de6-b8a3ff678463.jpg","‏5,900 ‏₪","3 חד׳","קומה 3","60 מ""ר","דירה, הרקון 9, הבורסה",""
"https://www.madlan.co.il/listings/3PK1ehbNSCs","https://images2.madlan.co.il/t:nonce:v=2;resize:height=328;convert:type=webp/bulletins/1f908d57-2744-4538-9470-78c2f3de21bb-788344e2-3cb9-473b-b34c-cd4b93d94147.jpg","‏8,000 ‏₪","3 חד׳","קומה 2","96 מ""ר","דירה, ארלוזורוב 82, הבורסה","תיווך"
"https://www.madlan.co.il/listings/cwfB0PAxpHt","https://images2.madlan.co.il/t:nonce:v=2;resize:height=328;convert:type=webp/bulletins/20260321_131630-375d5b7f-530f-4ff4-b79b-3206082c4bed.jpg","‏8,500 ‏₪","3 חד׳","קומה 12","90 מ""ר","דירה, ארלוזורוב 82, הבורסה","תיווך"
"https://www.madlan.co.il/listings/xMUNHEsIdBi","https://images2.madlan.co.il/t:nonce:v=2;resize:height=328;convert:type=webp/bulletins/WhatsApp_Image_2026-02-09_at_20.13.04-36938f85-8792-496a-9fc1-1daf47fba6d5.jpeg","‏6,800 ‏₪","2 חד׳","קומה 30","60 מ""ר","דירה, זיסמן שלום 14, הבורסה",""
"https://www.madlan.co.il/listings/Q5JXaS9NNZg","https://images2.madlan.co.il/t:nonce:v=2;resize:height=328;convert:type=webp/bulletins/exchange-pool-top-view-49a08bd1-57ce-4627-a542-32753f14dba2.jpg","‏9,900 ‏₪","3 חד׳","קומה 26","90 מ""ר","דירה, ארלוזורוב 82, הבורסה",""
"https://www.madlan.co.il/listings/ehsl3INFMNN","","‏7,200 ‏₪","2 חד׳","קומה 6","70 מ""ר","פנטהאוז, הבורסה","תיווך"
"https://www.madlan.co.il/listings/PDChGOU0n7l","","‏5,500 ‏₪","חדר אחד","קומה 32","30 מ""ר","יחידת דיור, מנחם בגין 3, הבורסה","תיווך"
"https://www.madlan.co.il/listings/RKh3sG7QLgs","","‏8,300 ‏₪","3 חד׳","קומה 5","110 מ""ר","דירה, הרי הגלעד 4, הבורסה",""
"https://www.madlan.co.il/listings/0zpt3roydod","","‏11,000 ‏₪","3 חד׳","קומה 24","90 מ""ר","דירה, ארלוזורוב 82, הבורסה",""
"https://www.madlan.co.il/listings/KVmqAnS8DkR","","‏6,499 ‏₪","3 חד׳","קומה 1","98 מ""ר","דירה, ז'בוטינסקי 22, שכונת הראשונים",""
"https://www.madlan.co.il/listings/l7BzgSkmU9C","","‏8,500 ‏₪","4 חד׳","קומה 4","85 מ""ר","דירה, הראשונים 12, שכונת הראשונים",""
"https://www.madlan.co.il/listings/JJFMG3v8Bal","","‏8,500 ‏₪","3 חד׳","קומה 4","84 מ""ר","דירה, החרוזים","תיווך"
"https://www.madlan.co.il/listings/f8H4H3UUTvo","","‏5,900 ‏₪","2.5 חד׳","קומה 4","50 מ""ר","דירה, ביאליק , החרוזים","תיווך"
"https://www.madlan.co.il/listings/vDqsuARDl1N","","‏5,700 ‏₪","2.5 חד׳","קומה 2","70 מ""ר","דירה, החרוזים 22, החרוזים",""
"https://www.madlan.co.il/listings/7I0yaysetmK","","‏7,000 ‏₪","4 חד׳","קומה 2","80 מ""ר","דירה, ארלוזורוב , שכונת הראשונים","תיווך"
"https://www.madlan.co.il/listings/800BmviB4lx","","‏7,000 ‏₪","3 חד׳","קומה 1","88 מ""ר","דירה, ראשונים , שכונת הראשונים","תיווך"
"https://www.madlan.co.il/listings/rLea0JFGj8j","","‏15,500 ‏₪","5 חד׳","קומה 14","156 מ""ר","דירה, הרי הגלעד , תל בנימין","תיווך"
"https://www.madlan.co.il/listings/4HiIAJrytRI","","‏6,700 ‏₪","4 חד׳","קומה 3","95 מ""ר","דירה, ז'בוטינסקי 22, שכונת הראשונים","תיווך"
"https://www.madlan.co.il/listings/P5ezy2GTIH0","","‏18,000 ‏₪","5 חד׳","קומה 28","202 מ""ר","פנטהאוז, שכונת הראשונים","תיווך"
"https://www.madlan.co.il/listings/h2Arlmt1bsZ","","‏7,200 ‏₪","4 חד׳","קומה 3","97 מ""ר","דירה, הצבי 6, שכונת הראשונים","בבלעדיות"
"https://www.madlan.co.il/listings/IeAl10AS0hZ","","‏8,000 ‏₪","3 חד׳","קומה 7","90 מ""ר","דירה, מתמיד , שכונת הראשונים","תיווך"
