"css-u1nut8 href","css-hqth87","css-q8j3hw","css-n4p85g","css-q8j3hw 2","css-q8j3hw 3","css-afgd57"
"https://www.madlan.co.il/listings/gB989uhWTlI","‏630 ‏₪","12 מ""ר","חניה, עוזיאל 7, יד לבנים","","",""
"https://www.madlan.co.il/listings/a3pLRIvHV2E","‏5,500 ‏₪","2.5 חד׳","דירה, הפודים 47, נחלת גנים","קומה 2","70 מ""ר",""
"https://www.madlan.co.il/listings/veu3xUkBO2g","‏6,990 ‏₪","3 חד׳","דירה, הרא""ה , שכונת הלל","קומה 2","68 מ""ר","תיווך"
"https://www.madlan.co.il/listings/TZbkJM8Ivcd","‏7,200 ‏₪","3 חד׳","דירה, שכונת הלל","קומה 4","80 מ""ר","תיווך"
"https://www.madlan.co.il/listings/KNEvkAg4K7s","‏9,000 ‏₪","3 חד׳","דירה, שדרת התמרים 9, מרכז העיר ג'","קומה 27","91 מ""ר",""
"https://www.madlan.co.il/listings/jWTjjrW3QRI","‏8,700 ‏₪","3 חד׳","דירה, הרואה 92, שכונת הלל","קומה 6","65 מ""ר",""
"https://www.madlan.co.il/listings/JJFMG3v8Bal","‏8,500 ‏₪","3 חד׳","דירה, החרוזים","קומה 4","84 מ""ר","תיווך"
"https://www.madlan.co.il/listings/relxUgwy0No","‏8,300 ‏₪","4 חד׳","דירה, נווה רם","קומה 1","106 מ""ר","תיווך"
"https://www.madlan.co.il/listings/751M6g7uBVD","‏8,000 ‏₪","3 חד׳","דירה, הרואה 94, שכונת הלל","קומה 12","82 מ""ר",""
"https://www.madlan.co.il/listings/UDDtCBfxNg9","‏8,000 ‏₪","2.5 חד׳","דירת גן, שאנן 9, מרכז העיר ב'","קומת קרקע","60 מ""ר",""
"https://www.madlan.co.il/listings/9C7uxzszYVJ","‏7,200 ‏₪","3 חד׳","דירה, שכונת הלל","קומה 4","80 מ""ר","תיווך"
"https://www.madlan.co.il/listings/KbKEaayhJkS","‏8,300 ‏₪","4 חד׳","דירה, יד לבנים","קומה 3","90 מ""ר","תיווך"
"https://www.madlan.co.il/listings/Y5gCVirQS5o","‏6,700 ‏₪","4 חד׳","דירה, בן גוריון 163, יד לבנים","קומה 3","100 מ""ר",""
"https://www.madlan.co.il/listings/2E9G5dEiCHr","‏500 ‏₪","4 חד׳","דירת נופש, מאיר בעל הנס 6, רמת יצחק","קומה 3","72 מ""ר",""
"https://www.madlan.co.il/listings/pWr2XaRJpkI","‏5,300 ‏₪","2 חד׳","דירה, ארלוזורוב 54, שכונת הראשונים","קומה 2","60 מ""ר","תיווך"
"https://www.madlan.co.il/listings/FGudH51OMe7","‏8,500 ‏₪","3 חד׳","דירה, החרוזים","קומה 4","84 מ""ר","תיווך"
"https://www.madlan.co.il/listings/ffn8cbzMJsq","‏5,800 ‏₪","4 חד׳","דירה, כהן 2, מרכז העיר ג'","קומה 2","85 מ""ר",""
"https://www.madlan.co.il/listings/c3jOGKpbSRo","‏8,000 ‏₪","5 חד׳","דירה, הרצל 75, מרכז העיר ג'","קומה 6","120 מ""ר",""
"https://www.madlan.co.il/listings/FJs4ZtBEml9","‏7,200 ‏₪","3 חד׳","דירה, הרא""ה , שכונת הלל","קומה 4","70 מ""ר","תיווך"
"https://www.madlan.co.il/listings/2XiaRc79nWc","‏7,000 ‏₪","3 חד׳","דירה, רוחמה , תל יהודה","קומה 4","70 מ""ר","תיווך"
"https://www.madlan.co.il/listings/9SEouSRx288","‏7,000 ‏₪","3 חד׳","דירה, כנפי נשרים 27, תל יהודה","קומה 1","75 מ""ר",""
"https://www.madlan.co.il/listings/4DKUL5thgAF","‏6,500 ‏₪","2.5 חד׳","דירה, קריניצי 98, מרכז העיר ג'","קומה 3","60 מ""ר",""
"https://www.madlan.co.il/listings/2ooGFX4xuuE","‏7,200 ‏₪","5 חד׳","דירה, השר משה , מתחם נגבה","קומה 1","146 מ""ר","בבלעדיות"
"https://www.madlan.co.il/listings/f8H4H3UUTvo","‏5,900 ‏₪","2.5 חד׳","דירה, ביאליק , החרוזים","קומה 4","50 מ""ר","תיווך"
"https://www.madlan.co.il/listings/yc7aoVWg3pG","‏5,600 ‏₪","3 חד׳","דירה, המבדיל 3, שכונת הגפן","קומת קרקע","73 מ""ר",""
"https://www.madlan.co.il/listings/qM3DQs83F7e","‏3,780 ‏₪","2 חד׳","דירה, ז'בוטינסקי 145, נחלת גנים","קומת קרקע","39 מ""ר",""
"https://www.madlan.co.il/listings/k6uFH6tOQY9","‏8,300 ‏₪","4 חד׳","דירה, נווה רם","קומה 1","106 מ""ר","תיווך"
"https://www.madlan.co.il/listings/eCjUqQE2IFA","‏9,000 ‏₪","3 חד׳","דירה, ביאלייק , מרכז העיר ג'","קומה 10","82 מ""ר","תיווך"
"https://www.madlan.co.il/listings/Lco4z8nWWMe","‏7,200 ‏₪","3 חד׳","דירה, הרא""ה 153, רמת יצחק","קומה 2","75 מ""ר",""
"https://www.madlan.co.il/listings/sVFZmGiXE1k","‏7,800 ‏₪","3.5 חד׳","דירה, ויינשל אליעזר 2, תל בנימין","קומה 4","78 מ""ר",""
"https://www.madlan.co.il/listings/AVJJcHZQbRx","‏4,000 ‏₪","3 חד׳","דירה, דרך נגבה , מתחם נגבה","קומה 3","90 מ""ר","תיווך"
"https://www.madlan.co.il/listings/glhacXrRRWb","‏4,800 ‏₪","2 חד׳","דירת גן, מעלה הצבי 4, החשמונאים (מרכז העיר א')","קומת קרקע","45 מ""ר","תיווך"
"https://www.madlan.co.il/listings/1BL3JFtk7JI","‏5,500 ‏₪","2.5 חד׳","דירה, הפודים 47, נחלת גנים","קומה 2","70 מ""ר",""
"https://www.madlan.co.il/listings/5Vq9qa3pCU2","‏7,900 ‏₪","4.5 חד׳","דירת גג, הגת 12, מרכז העיר ג'","קומה 3","100 מ""ר",""
"https://www.madlan.co.il/listings/NAsMUI42gp8","‏3,700 ‏₪","חדר אחד","דירה, השתיל 4, מרכז העיר ג'","קומה 1","28 מ""ר","תיווך"
"https://www.madlan.co.il/listings/cGN5llCvCRH","‏6,300 ‏₪","4 חד׳","דירה, ביאלייק , מרכז העיר ב'","קומה 3","100 מ""ר","תיווך"
"https://www.madlan.co.il/listings/8tFokOxgtsj","‏4,900 ‏₪","2 חד׳","דירה, הזיתים 21, מרכז העיר ג'","קומה 1","60 מ""ר",""
"https://www.madlan.co.il/listings/D38d2hyJ5O5","‏5,750 ‏₪","3.5 חד׳","דירה, אלוף נחמיה תמרי 5, רמת יצחק","קומה 1","75 מ""ר",""
"https://www.madlan.co.il/listings/xUgxuFi78ZV","‏7,500 ‏₪","4 חד׳","דירה, בית חורון , החשמונאים (מרכז העיר א')","קומה 3","105 מ""ר","תיווך"
"https://www.madlan.co.il/listings/CkHU9AurtTV","‏3,200 ‏₪","1.5 חד׳","דירה, הרא""ה 163, רמת יצחק","קומה 2","28 מ""ר","תיווך"
"https://www.madlan.co.il/listings/UwnwO2jfttc","‏9,300 ‏₪","5 חד׳","דירה, הרא""ה 92, שכונת הלל","קומה 1","119 מ""ר",""
"https://www.madlan.co.il/listings/7kA6u2ozfhA","‏2,250 ‏₪","3 חד׳","דירה, שדרות ירושלים 1, יד לבנים","קומה 3","70 מ""ר",""
"https://www.madlan.co.il/listings/lctZOzdnQXA","‏9,500 ‏₪","5 חד׳","דירה, אבישי 7, תל יהודה","קומת קרקע","140 מ""ר","בבלעדיות"
"https://www.madlan.co.il/listings/ptnuuzJXuoW","‏16,000 ‏₪","5 חד׳","בית פרטי, יוסף צבי , תל גנים","קומת קרקע","160 מ""ר","תיווך"
"https://www.madlan.co.il/listings/EuHcxQNhtfa","‏6,700 ‏₪","3 חד׳","דירה, המבדיל 5, שכונת הגפן","קומה 2","96 מ""ר",""
"https://www.madlan.co.il/listings/zao8ZOYdxQI","‏6,000 ‏₪","3 חד׳","דירה, סוקולוב 17, נחלת גנים","קומה 3","76 מ""ר",""
"https://www.madlan.co.il/listings/BWLTw73RxNf","‏16,000 ‏₪","5 חד׳","בית פרטי, יוסף צבי , תל גנים","קומת קרקע","160 מ""ר","תיווך"
"https://www.madlan.co.il/listings/jrB3dBwAsxH","‏7,600 ‏₪","4 חד׳","דירה, הרבי מרוז'ין , נווה רם","קומה 3","85 מ""ר","תיווך"
