"css-u1nut8 href","css-hqth87","css-q8j3hw","css-n4p85g","css-q8j3hw 2","css-q8j3hw 3","css-afgd57"
"https://www.madlan.co.il/listings/gB989uhWTlI","‏630 ‏₪","12 מ""ר","חניה, עוזיאל 7, יד לבנים","","",""
"https://www.madlan.co.il/listings/a3pLRIvHV2E","‏5,500 ‏₪","2.5 חד׳","דירה, הפודים 47, נחלת גנים","קומה 2","70 מ""ר",""
"https://www.madlan.co.il/listings/veu3xUkBO2g","‏6,990 ‏₪","3 חד׳","דירה, הרא""ה , שכונת הלל","קומה 2","68 מ""ר","תיווך"
"https://www.madlan.co.il/listings/TZbkJM8Ivcd","‏7,200 ‏₪","3 חד׳","דירה, שכונת הלל","קומה 4","80 מ""ר","תיווך"
"https://www.madlan.co.il/listings/KNEvkAg4K7s","‏9,000 ‏₪","3 חד׳","דירה, שדרת התמרים 9, מרכז העיר ג'","קומה 27","91 מ""ר",""
"https://www.madlan.co.il/listings/jWTjjrW3QRI","‏8,700 ‏₪","3 חד׳","דירה, הרואה 92, שכונת הלל","קומה 6","65 מ""ר",""
"https://www.madlan.co.il/listings/JJFMG3v8Bal","‏8,500 ‏₪","3 חד׳","דירה, החרוזים","קומה 4","84 מ""ר","תיווך"
"https://www.madlan.co.il/listings/9C7uxzszYVJ","‏7,200 ‏₪","3 חד׳","דירה, שכונת הלל","קומה 4","80 מ""ר","תיווך"
"https://www.madlan.co.il/listings/751M6g7uBVD","‏8,000 ‏₪","3 חד׳","דירה, הרואה 94, שכונת הלל","קומה 12","82 מ""ר",""
"https://www.madlan.co.il/listings/UDDtCBfxNg9","‏8,000 ‏₪","2.5 חד׳","דירת גן, שאנן 9, מרכז העיר ב'","קומת קרקע","60 מ""ר",""
"https://www.madlan.co.il/listings/KbKEaayhJkS","‏8,300 ‏₪","4 חד׳","דירה, יד לבנים","קומה 3","90 מ""ר","תיווך"
"https://www.madlan.co.il/listings/pWr2XaRJpkI","‏5,300 ‏₪","2 חד׳","דירה, ארלוזורוב 54, שכונת הראשונים","קומה 2","60 מ""ר","תיווך"
"https://www.madlan.co.il/listings/ffn8cbzMJsq","‏5,800 ‏₪","4 חד׳","דירה, כהן 2, מרכז העיר ג'","קומה 2","85 מ""ר",""
"https://www.madlan.co.il/listings/c3jOGKpbSRo","‏8,000 ‏₪","5 חד׳","דירה, הרצל 75, מרכז העיר ג'","קומה 6","120 מ""ר",""
"https://www.madlan.co.il/listings/FGudH51OMe7","‏8,500 ‏₪","3 חד׳","דירה, החרוזים","קומה 4","84 מ""ר","תיווך"
"https://www.madlan.co.il/listings/FJs4ZtBEml9","‏7,200 ‏₪","3 חד׳","דירה, הרא""ה , שכונת הלל","קומה 4","70 מ""ר","תיווך"
"https://www.madlan.co.il/listings/4DKUL5thgAF","‏6,500 ‏₪","2.5 חד׳","דירה, קריניצי 98, מרכז העיר ג'","קומה 3","60 מ""ר",""
"https://www.madlan.co.il/listings/yc7aoVWg3pG","‏5,600 ‏₪","3 חד׳","דירה, המבדיל 3, שכונת הגפן","קומת קרקע","73 מ""ר",""
"https://www.madlan.co.il/listings/f8H4H3UUTvo","‏5,900 ‏₪","2.5 חד׳","דירה, ביאליק , החרוזים","קומה 4","50 מ""ר","תיווך"
"https://www.madlan.co.il/listings/eCjUqQE2IFA","‏9,000 ‏₪","3 חד׳","דירה, ביאלייק , מרכז העיר ג'","קומה 10","82 מ""ר","תיווך"
"https://www.madlan.co.il/listings/qM3DQs83F7e","‏3,780 ‏₪","2 חד׳","דירה, ז'בוטינסקי 145, נחלת גנים","קומת קרקע","39 מ""ר",""
"https://www.madlan.co.il/listings/sVFZmGiXE1k","‏7,800 ‏₪","3.5 חד׳","דירה, ויינשל אליעזר 2, תל בנימין","קומה 4","78 מ""ר",""
"https://www.madlan.co.il/listings/glhacXrRRWb","‏4,800 ‏₪","2 חד׳","דירת גן, מעלה הצבי 4, החשמונאים (מרכז העיר א')","קומת קרקע","45 מ""ר","תיווך"
"https://www.madlan.co.il/listings/NAsMUI42gp8","‏3,700 ‏₪","חדר אחד","דירה, השתיל 4, מרכז העיר ג'","קומה 1","28 מ""ר","תיווך"
"https://www.madlan.co.il/listings/1BL3JFtk7JI","‏5,500 ‏₪","2.5 חד׳","דירה, הפודים 47, נחלת גנים","קומה 2","70 מ""ר",""
"https://www.madlan.co.il/listings/5Vq9qa3pCU2","‏7,900 ‏₪","4.5 חד׳","דירת גג, הגת 12, מרכז העיר ג'","קומה 3","100 מ""ר",""
"https://www.madlan.co.il/listings/cGN5llCvCRH","‏6,300 ‏₪","4 חד׳","דירה, ביאלייק , מרכז העיר ב'","קומה 3","100 מ""ר","תיווך"
"https://www.madlan.co.il/listings/xUgxuFi78ZV","‏7,500 ‏₪","4 חד׳","דירה, בית חורון , החשמונאים (מרכז העיר א')","קומה 3","105 מ""ר","תיווך"
"https://www.madlan.co.il/listings/8tFokOxgtsj","‏4,900 ‏₪","2 חד׳","דירה, הזיתים 21, מרכז העיר ג'","קומה 1","60 מ""ר",""
"https://www.madlan.co.il/listings/UwnwO2jfttc","‏9,300 ‏₪","5 חד׳","דירה, הרא""ה 92, שכונת הלל","קומה 1","119 מ""ר",""
"https://www.madlan.co.il/listings/PZuGSmkqmVI","‏5,300 ‏₪","3 חד׳","דירה, ברקאי 4, רמת יצחק","קומה 3","90 מ""ר","בבלעדיות"
"https://www.madlan.co.il/listings/IC5GXOWkhyB","‏5,200 ‏₪","2 חד׳","דירה, שכונת הגפן","קומה 1","70 מ""ר","תיווך"
"https://www.madlan.co.il/listings/EuHcxQNhtfa","‏6,700 ‏₪","3 חד׳","דירה, המבדיל 5, שכונת הגפן","קומה 2","96 מ""ר",""
"https://www.madlan.co.il/listings/zao8ZOYdxQI","‏6,000 ‏₪","3 חד׳","דירה, סוקולוב 17, נחלת גנים","קומה 3","76 מ""ר",""
"https://www.madlan.co.il/listings/IGccAi7ekJj","‏6,500 ‏₪","4 חד׳","דירה, בן גוריון , פועלי הרכבת","קומה 6","100 מ""ר","תיווך"
"https://www.madlan.co.il/listings/1W3Wp9mSB2m","‏5,000 ‏₪","3 חד׳","דירה, שאנן , מרכז העיר ב'","קומה 1","90 מ""ר","תיווך"
"https://www.madlan.co.il/listings/hCflADxwknX","‏9,200 ‏₪","5 חד׳","דירה, הרא""ה 94, שכונת הלל","קומה 6","119 מ""ר",""
"https://www.madlan.co.il/listings/9igm6Cl1xrG","‏8,200 ‏₪","3 חד׳","דירה, הפודים 12, נחלת גנים","קומה 7","73 מ""ר",""
"https://www.madlan.co.il/listings/7I0yaysetmK","‏7,000 ‏₪","4 חד׳","דירה, ארלוזורוב , שכונת הראשונים","קומה 2","80 מ""ר","תיווך"
"https://www.madlan.co.il/listings/yfy8oTOfjmu","‏11,000 ‏₪","7 חד׳","דו משפחתי, שכונת הלל","קומת קרקע","270 מ""ר","תיווך"
"https://www.madlan.co.il/listings/FGXKdzewgyM","‏4,000 ‏₪","2 חד׳","דירה, חיבת ציון 31, שכונת הלל","קומה 1","55 מ""ר",""
"https://www.madlan.co.il/listings/BgClhdpzEb8","‏8,100 ‏₪","4 חד׳","דירה, הרואה 90, שכונת הלל","קומה 7","90 מ""ר",""
"https://www.madlan.co.il/listings/H8Qjd1DjMKn","‏7,500 ‏₪","4 חד׳","דירה, מרים , החשמונאים (מרכז העיר א')","קומה 1","125 מ""ר","תיווך"
"https://www.madlan.co.il/listings/ES3sEE6Os4m","‏9,500 ‏₪","5 חד׳","דירה, הפודים , נחלת גנים","קומה 7","98 מ""ר","תיווך"
"https://www.madlan.co.il/listings/FY4okteDn6V","‏5,500 ‏₪","חדר אחד","דירה, שלום זיסמן 14, הבורסה","קומה 34","35 מ""ר",""
"https://www.madlan.co.il/listings/YvOcGENI5ED","‏8,000 ‏₪","4 חד׳","דירה, בית חורון 2, החשמונאים (מרכז העיר א')","קומה 10","117 מ""ר",""
"https://www.madlan.co.il/listings/RReLx33ONm8","‏3,800 ‏₪","2 חד׳","דירה, שדרות התמרים , מרכז העיר ג'","קומת קרקע","55 מ""ר","תיווך"
"https://www.madlan.co.il/listings/ZPnbTXS9xyr","‏6,300 ‏₪","2.5 חד׳","דירה, שכונת הראשונים","קומה 1","85 מ""ר","תיווך"
