"css-u1nut8 href","css-hqth87","css-q8j3hw","css-q8j3hw 2","css-q8j3hw 3","css-n4p85g","css-afgd57"
"https://www.madlan.co.il/listings/jWTjjrW3QRI","‏8,700 ‏₪","3 חד׳","קומה 6","65 מ""ר","דירה, הרואה 92, שכונת הלל",""
"https://www.madlan.co.il/listings/751M6g7uBVD","‏8,000 ‏₪","3 חד׳","קומה 12","82 מ""ר","דירה, הרואה 94, שכונת הלל",""
"https://www.madlan.co.il/listings/veu3xUkBO2g","‏6,990 ‏₪","3 חד׳","קומה 2","68 מ""ר","דירה, הרא""ה , שכונת הלל","תיווך"
"https://www.madlan.co.il/listings/TZbkJM8Ivcd","‏7,200 ‏₪","3 חד׳","קומה 4","80 מ""ר","דירה, שכונת הלל","תיווך"
"https://www.madlan.co.il/listings/UwnwO2jfttc","‏9,300 ‏₪","5 חד׳","קומה 1","119 מ""ר","דירה, הרא""ה 92, שכונת הלל",""
"https://www.madlan.co.il/listings/hCflADxwknX","‏9,200 ‏₪","5 חד׳","קומה 6","119 מ""ר","דירה, הרא""ה 94, שכונת הלל",""
"https://www.madlan.co.il/listings/9C7uxzszYVJ","‏7,200 ‏₪","3 חד׳","קומה 4","80 מ""ר","דירה, שכונת הלל","תיווך"
"https://www.madlan.co.il/listings/KbKEaayhJkS","‏8,300 ‏₪","4 חד׳","קומה 3","90 מ""ר","דירה, יד לבנים","תיווך"
"https://www.madlan.co.il/listings/FGXKdzewgyM","‏4,000 ‏₪","2 חד׳","קומה 1","55 מ""ר","דירה, חיבת ציון 31, שכונת הלל",""
"https://www.madlan.co.il/listings/BgClhdpzEb8","‏8,100 ‏₪","4 חד׳","קומה 7","90 מ""ר","דירה, הרואה 90, שכונת הלל",""
"https://www.madlan.co.il/listings/FJs4ZtBEml9","‏7,200 ‏₪","3 חד׳","קומה 4","70 מ""ר","דירה, הרא""ה , שכונת הלל","תיווך"
"https://www.madlan.co.il/listings/yfy8oTOfjmu","‏11,000 ‏₪","7 חד׳","קומת קרקע","270 מ""ר","דו משפחתי, שכונת הלל","תיווך"
"https://www.madlan.co.il/listings/DUq35gmiRia","‏6,190 ‏₪","3 חד׳","קומת קרקע","70 מ""ר","דירה, הנעורים 5, שכונת הלל",""
"https://www.madlan.co.il/listings/ETz74edNqOn","‏6,800 ‏₪","3 חד׳","קומה 3","70 מ""ר","דירה, הרא""ה 90, שכונת הלל",""
"https://www.madlan.co.il/listings/88ZHmbWLdT2","‏8,200 ‏₪","4 חד׳","קומה 6","88 מ""ר","דירה, הרא""ה 90, שכונת הלל","תיווך"
"https://www.madlan.co.il/listings/ka6uzYM3rar","‏8,500 ‏₪","4 חד׳","קומה 1","88 מ""ר","דירה, שכונת הלל","בבלעדיות"
"https://www.madlan.co.il/listings/smQfNSO5s5h","‏7,500 ‏₪","3 חד׳","קומה 4","80 מ""ר","דירה, הרא""ה 90, שכונת הלל",""
"https://www.madlan.co.il/listings/Qz7qR14TiqN","‏4,750 ‏₪","2.5 חד׳","קומה 1","70 מ""ר","דירה, חיבת ציון 29, שכונת הלל",""
"https://www.madlan.co.il/listings/G31dGytEmPh","‏8,500 ‏₪","3 חד׳","קומה 12","75 מ""ר","דירה, הרא""ה 100, שכונת הלל","תיווך"
"https://www.madlan.co.il/listings/ExqdWZWtGqx","‏5,500 ‏₪","3 חד׳","קומה 2","65 מ""ר","דירה, הרא""ה , שכונת הלל","תיווך"
"https://www.madlan.co.il/listings/aGYBp2BfRzF","‏9,000 ‏₪","5 חד׳","קומה 5","113 מ""ר","דירה, שכונת הלל","תיווך"
"https://www.madlan.co.il/listings/KHmtyQh3jLH","‏8,300 ‏₪","4 חד׳","קומה 4","93 מ""ר","דירה, שכונת הלל","תיווך"
"https://www.madlan.co.il/listings/ElMAmTJRjpf","‏9,300 ‏₪","3 חד׳","קומת קרקע","100 מ""ר","דירת גן, שכונת הלל","תיווך"
"https://www.madlan.co.il/listings/SZIkKXGHZqq","‏7,500 ‏₪","3 חד׳","קומה 12","70 מ""ר","דירה, שכונת הלל","תיווך"
"https://www.madlan.co.il/listings/FPafGoT0qPg","‏6,900 ‏₪","3 חד׳","קומה 2","70 מ""ר","דירה, הבנים , הר שלום","תיווך"
