"css-u1nut8 href","css-hqth87","css-q8j3hw","css-q8j3hw 2","css-q8j3hw 3","css-n4p85g","css-afgd57"
"https://www.madlan.co.il/listings/ohotCOxLlUu","‏5,500 ‏₪","1.5 חד׳","קומת קרקע","40 מ""ר","סטודיו/לופט, בן יהודה 260, הצפון הישן החלק הצפוני",""
"https://www.madlan.co.il/listings/dh2yPv1VATo","‏7,500 ‏₪","2 חד׳","קומה 3","55 מ""ר","דירה, סוקולוב 52, הצפון הישן החלק הצפוני",""
"https://www.madlan.co.il/listings/eKEElCemRCr","‏9,500 ‏₪","3 חד׳","קומה 2","65 מ""ר","דירה, עמדן 3, הצפון הישן החלק הצפוני","תיווך"
"https://www.madlan.co.il/listings/WF7cnZKDpVE","‏11,000 ‏₪","3 חד׳","קומה 1","65 מ""ר","דירה, יורדי הסירה , הצפון הישן החלק הצפוני","תיווך"
"https://www.madlan.co.il/listings/rYY0OyOHziK","‏5,300 ‏₪","2 חד׳","קומה 2","45 מ""ר","דירה, דיזנגוף 225, הצפון הישן החלק הצפוני",""
"https://www.madlan.co.il/listings/ahVdhpvqPjn","‏19,500 ‏₪","4 חד׳","קומה 3","100 מ""ר","דירה, ויתקין 11, הצפון הישן החלק הצפוני",""
"https://www.madlan.co.il/listings/oGeFhtASzDc","‏9,500 ‏₪","2.5 חד׳","קומה 2","72 מ""ר","דירה, הורקנוס , הצפון הישן החלק הצפוני","תיווך"
"https://www.madlan.co.il/listings/tO4hke31MmR","‏5,100 ‏₪","חדר אחד","קומת קרקע","27 מ""ר","דירה, מודיעין , הצפון הישן החלק הצפוני","תיווך"
"https://www.madlan.co.il/listings/QZbRpCHf5qJ","‏6,500 ‏₪","2 חד׳","קומה 2","40 מ""ר","דירה, דיזינגוף 328, הצפון הישן החלק הצפוני",""
"https://www.madlan.co.il/listings/gXrEfP1IhP1","‏7,300 ‏₪","2.5 חד׳","קומה 1","78 מ""ר","דירה, אוסישקין 98, הצפון הישן החלק הצפוני",""
"https://www.madlan.co.il/listings/hE3cF59rfUM","‏7,000 ‏₪","3 חד׳","קומה 1","70 מ""ר","דירה, עמוס , הצפון הישן החלק הצפוני","תיווך"
"https://www.madlan.co.il/listings/H2mtNaT0WKo","‏8,700 ‏₪","2.5 חד׳","קומה 4","60 מ""ר","דירת גג, ירמיהו , הצפון הישן החלק הצפוני","תיווך"
"https://www.madlan.co.il/listings/uRRb4GOco3d","‏3,900 ‏₪","חדר אחד","קומת קרקע","14 מ""ר","דירה, יעקב עמדן 6, הצפון הישן החלק הצפוני",""
"https://www.madlan.co.il/listings/7iqxILYk0jS","‏10,500 ‏₪","3 חד׳","קומה 2","85 מ""ר","דירה, הירקון , נמל תל אביב","תיווך"
"https://www.madlan.co.il/listings/tgVT6aaAdHp","‏12,000 ‏₪","3 חד׳","80 מ""ר","","דירה, הירקון , הצפון הישן החלק הצפוני","תיווך"
