"css-u1nut8 href","css-hqth87","css-q8j3hw","css-q8j3hw 2","css-q8j3hw 3","css-n4p85g","css-afgd57"
"https://www.madlan.co.il/listings/sePQFrAN2lZ","‏12,000 ‏₪","2 חד׳","קומה 3","61 מ""ר","דירה, אחד העם 27, לב תל אביב",""
"https://www.madlan.co.il/listings/EoMfBFNcT2H","‏9,500 ‏₪","3 חד׳","קומה 1","70 מ""ר","דירה, ביל""ו 31, לב תל אביב",""
"https://www.madlan.co.il/listings/bA6pbTAuxrt","‏10,800 ‏₪","3 חד׳","קומה 2","70 מ""ר","דירה, מלצ'ט , לב תל אביב","תיווך"
"https://www.madlan.co.il/listings/NXba940LN44","‏15,000 ‏₪","4 חד׳","קומת קרקע","120 מ""ר","דירה, גלבוע , לב תל אביב","תיווך"
"https://www.madlan.co.il/listings/6dYFuye4tdB","‏8,000 ‏₪","2.5 חד׳","קומת קרקע","50 מ""ר","דירה, נחמני 5, לב תל אביב",""
"https://www.madlan.co.il/listings/PwReNp4Hu2U","‏8,500 ‏₪","3.5 חד׳","קומה 3","70 מ""ר","דירה, החשמונאים 10, לב תל אביב",""
"https://www.madlan.co.il/listings/jHiGco2ppXD","‏9,600 ‏₪","4 חד׳","קומת קרקע","80 מ""ר","דירה, יבנה , לב תל אביב","תיווך"
"https://www.madlan.co.il/listings/rNe0r5A8dEI","‏19,980 ‏₪","4.5 חד׳","קומה 5","149 מ""ר","דירה, לב תל אביב","תיווך"
"https://www.madlan.co.il/listings/dFQ5skmhPAp","‏1,300 ‏₪","6 מ""ר","","","חניה, מרכז בעלי מלאכה 1, לב תל אביב",""
"https://www.madlan.co.il/listings/iQRoNlZyFQ0","‏9,500 ‏₪","9 חד׳","קומה 2","135 מ""ר","אחר, יהודה הלוי 69, לב תל אביב",""
"https://www.madlan.co.il/listings/B3Jz9ZFAk1J","‏13,000 ‏₪","2 חד׳","קומה 2","60 מ""ר","דירה, אחד העם , לב תל אביב","תיווך"
"https://www.madlan.co.il/listings/5Mqq8w3dI04","‏7,500 ‏₪","2.5 חד׳","קומה 3","60 מ""ר","דירה, קרליבך , שרונה","תיווך"
"https://www.madlan.co.il/listings/oe2YUHiYQOs","‏18,000 ‏₪","2 חד׳","קומה 6","165 מ""ר","פנטהאוז, ביל""ו 25, לב תל אביב",""
"https://www.madlan.co.il/listings/ijtdsMCzZzn","‏9,500 ‏₪","3 חד׳","קומת קרקע","78 מ""ר","דירה, חיים ואלישע , לב תל אביב","תיווך"
"https://www.madlan.co.il/listings/RY6mvjyAhaI","‏9,000 ‏₪","3 חד׳","קומת קרקע","70 מ""ר","דירת גן, חיים ואלישע , לב תל אביב","תיווך"
"https://www.madlan.co.il/listings/OGLiAoizqaM","‏11,500 ‏₪","3 חד׳","קומה 2","78 מ""ר","דירה, מרכז בעלי מלאכה 27, לב תל אביב","תיווך"
"https://www.madlan.co.il/listings/RSehmtp4Bpc","‏20,000 ‏₪","3 חד׳","קומה 2","75 מ""ר","דירה, נחלת בנימין","תיווך"
"https://www.madlan.co.il/listings/6KaQKMyIFGs","‏14,980 ‏₪","4 חד׳","קומה 5","100 מ""ר","דירה, לב תל אביב","תיווך"
"https://www.madlan.co.il/listings/Ppdoev19oDP","‏4,500 ‏₪","חדר אחד","קומת קרקע","30 מ""ר","דירה, רש""י , לב תל אביב","תיווך"
"https://www.madlan.co.il/listings/Ihb4joIYzBx","‏11,000 ‏₪","4 חד׳","קומה 1","130 מ""ר","דירה, נחמני , לב תל אביב","תיווך"
"https://www.madlan.co.il/listings/BPhYOZoewBw","‏19,000 ‏₪","4 חד׳","קומה 5","90 מ""ר","דירת גג, עבודה , לב תל אביב","תיווך"
"https://www.madlan.co.il/listings/IVsMJ7ZSC2K","‏13,000 ‏₪","3 חד׳","קומת קרקע","70 מ""ר","דירת גן, בלפור , לב תל אביב","תיווך"
"https://www.madlan.co.il/listings/XOJemozlWRj","‏15,900 ‏₪","3 חד׳","קומה 1","85 מ""ר","דירה, מזא""ה 41, לב תל אביב","תיווך"
"https://www.madlan.co.il/listings/8lBVVhrqbfU","‏12,500 ‏₪","3 חד׳","קומה 4","75 מ""ר","דירה, לב תל אביב","תיווך"
"https://www.madlan.co.il/listings/Pjj1q7oW2oF","‏12,000 ‏₪","3 חד׳","קומה 2","66 מ""ר","דירה, מרכז בעלי מלאכה , לב תל אביב","תיווך"
"https://www.madlan.co.il/listings/jtlJ2mYYbIH","‏13,200 ‏₪","3 חד׳","קומה 4","75 מ""ר","דירה, לב תל אביב","תיווך"
"https://www.madlan.co.il/listings/fGz5gw65ndQ","‏7,200 ‏₪","3 חד׳","מרתף","65 מ""ר","דירת מרתף, שדרות בן ציון , הצפון הישן החלק הדרום מזרחי","תיווך"
"https://www.madlan.co.il/listings/nwe2LdjvB8g","‏6,750 ‏₪","2 חד׳","קומת קרקע","50 מ""ר","דירה, יהודה הלוי , לב תל אביב","תיווך"
"https://www.madlan.co.il/listings/dUzSxxZXT3G","‏18,000 ‏₪","5 חד׳","קומה 2","150 מ""ר","דירה, לב תל אביב","תיווך"
"https://www.madlan.co.il/listings/MaVhkfBMjh9","‏9,600 ‏₪","4 חד׳","קומת קרקע","80 מ""ר","דירה, יבנה , לב תל אביב","תיווך"
"https://www.madlan.co.il/listings/AGXHtFCPw8j","‏17,500 ‏₪","5 חד׳","קומה 2","130 מ""ר","דירה, ביל""ו , לב תל אביב","תיווך"
"https://www.madlan.co.il/listings/hoiDHiof5QL","‏9,600 ‏₪","4 חד׳","קומת קרקע","130 מ""ר","דירה, יבנה 3, לב תל אביב","תיווך"
"https://www.madlan.co.il/listings/0OLhub5Wuyu","‏8,200 ‏₪","3 חד׳","קומה 1","67 מ""ר","דירה, מרמורק , לב תל אביב","תיווך"
"https://www.madlan.co.il/listings/60VvIvq0hzO","‏9,000 ‏₪","2 חד׳","קומה 4","58 מ""ר","דירה, עין ורד , לב תל אביב","תיווך"
"https://www.madlan.co.il/listings/1Yxbb94CL9i","‏9,000 ‏₪","2 חד׳","קומה 4","58 מ""ר","דירה, בלפור , לב תל אביב","תיווך"
"https://www.madlan.co.il/listings/CVFbUMQ4uEc","‏9,000 ‏₪","2 חד׳","קומה 4","55 מ""ר","דירה, לב תל אביב","תיווך"
"https://www.madlan.co.il/listings/g8ToWEfSdVW","‏12,000 ‏₪","חדר אחד","90 מ""ר","","דירה, מאזה , לב תל אביב","תיווך"
"https://www.madlan.co.il/listings/S4u1ng5vpBr","‏4,400 ‏₪","חדר אחד","קומת קרקע","20 מ""ר","סטודיו/לופט, פאירברג 10, לב תל אביב","בבלעדיות"
"https://www.madlan.co.il/listings/JFFdB4VHUqC","‏8,000 ‏₪","3 חד׳","קומה 1","65 מ""ר","דירה, אלנבי , לב תל אביב","תיווך"
"https://www.madlan.co.il/listings/HCRVc54mxiV","‏5,400 ‏₪","חדר אחד","קומה 3","32 מ""ר","דירה, עמרם גאון , לב תל אביב","תיווך"
"https://www.madlan.co.il/listings/8hVnuQhExuu","‏6,000 ‏₪","1.5 חד׳","קומה 3","42 מ""ר","דירה, עמרם גאון , לב תל אביב","תיווך"
"https://www.madlan.co.il/listings/8Db3WVHGEXd","‏6,200 ‏₪","2 חד׳","קומה 3","45 מ""ר","דירה, עמרם גאון , לב תל אביב","תיווך"
"https://www.madlan.co.il/listings/iv0Yibc3NbE","‏10,900 ‏₪","4 חד׳","קומה 1","120 מ""ר","דירה, גורג אליוט , לב תל אביב","תיווך"
"https://www.madlan.co.il/listings/HXQRDvMVgZr","‏9,500 ‏₪","3 חד׳","קומת קרקע","90 מ""ר","דירה, נחמני 1, לב תל אביב","תיווך"
"https://www.madlan.co.il/listings/iCE183ROyfd","‏6,000 ‏₪","2 חד׳","קומה 4","45 מ""ר","דירה, נחמני , לב תל אביב","תיווך"
"https://www.madlan.co.il/listings/dpJzqtJ9saV","‏21,000 ‏₪","5 חד׳","קומה 43","160 מ""ר","דירה, החשמונאים , לב תל אביב","תיווך"
"https://www.madlan.co.il/listings/dKkal5cHAlP","‏5,200 ‏₪","2 חד׳","מרתף","50 מ""ר","סטודיו/לופט, בעלי מלאכה 21, לב תל אביב","תיווך"
"https://www.madlan.co.il/listings/4KHBJndLlPU","‏35,000 ‏₪","3 חד׳","קומה 1","144 מ""ר","דירה, שדרות רוטשילד 62, לב תל אביב","תיווך"
"https://www.madlan.co.il/listings/K0YTamxnDOx","‏14,500 ‏₪","3 חד׳","קומה 3","95 מ""ר","דירה, לב תל אביב","תיווך"
